DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
03-Dec-2025,EQ,"810.80","819.60","800.95","806.85","818.65","816.30","811.12","864.00","546.45",4948661,"4,01,39,81,310.15",86799
02-Dec-2025,EQ,"811.00","813.50","802.60","810.80","807.50","806.85","806.83","864.00","546.45",4237151,"3,41,86,60,620.50",67556
01-Dec-2025,EQ,"817.95","817.95","808.20","808.40","811.80","810.80","812.09","864.00","546.45",2064678,"1,67,67,10,863.30",54460
28-Nov-2025,EQ,"812.20","815.00","807.20","807.55","809.50","808.40","810.46","864.00","546.45",3200488,"2,59,38,61,308.20",55873
27-Nov-2025,EQ,"807.90","813.95","800.45","800.80","807.00","807.55","806.88","864.00","546.45",4481695,"3,61,61,99,051.10",99252
26-Nov-2025,EQ,"790.15","803.00","787.20","789.35","800.80","800.80","797.85","864.00","546.45",3842280,"3,06,55,46,536.65",78514
25-Nov-2025,EQ,"777.95","791.75","772.65","774.65","785.80","789.35","786.99","864.00","546.45",6090783,"4,79,34,05,555.50",77831
24-Nov-2025,EQ,"782.85","788.10","771.85","777.70","773.80","774.65","778.40","864.00","546.45",5666985,"4,41,11,80,807.45",70403
21-Nov-2025,EQ,"786.00","787.00","776.25","799.80","777.35","777.70","781.20","864.00","546.45",5099356,"3,98,36,14,150.30",93718
20-Nov-2025,EQ,"799.80","802.65","789.30","790.95","800.10","799.80","798.46","864.00","546.45",6016713,"4,80,41,25,569.50",84874
19-Nov-2025,EQ,"797.15","798.80","790.00","797.15","792.00","790.95","793.15","864.00","546.45",3005726,"2,38,39,80,063.15",48318
18-Nov-2025,EQ,"804.50","804.50","788.35","807.15","796.85","797.15","795.31","864.00","546.45",7299555,"5,80,53,77,371.25",78293
17-Nov-2025,EQ,"801.00","809.00","799.75","803.65","808.00","807.15","804.62","864.00","546.45",2770547,"2,22,92,24,393.20",48348
14-Nov-2025,EQ,"807.00","812.50","796.00","811.95","803.00","803.65","804.20","864.00","546.45",4113598,"3,30,81,68,306.15",63881
13-Nov-2025,EQ,"803.00","816.50","799.00","794.40","814.00","811.95","809.20","864.00","546.45",5854638,"4,73,76,01,702.40",108299
12-Nov-2025,EQ,"798.00","809.00","791.75","793.75","793.95","794.40","800.18","864.00","546.45",7589035,"6,07,26,07,817.85",102206
11-Nov-2025,EQ,"790.80","794.70","778.10","785.20","792.50","793.75","786.55","864.00","546.45",5411465,"4,25,63,97,662.05",91238
10-Nov-2025,EQ,"792.00","799.90","783.85","790.40","784.90","785.20","791.81","864.00","546.45",5914226,"4,68,29,63,258.90",110041
07-Nov-2025,EQ,"788.50","802.60","783.00","788.40","790.50","790.40","792.21","864.00","546.45",13189011,"10,44,84,73,637.65",151709
06-Nov-2025,EQ,"788.00","795.00","770.15","831.40","786.55","788.40","781.95","864.00","546.45",34786635,"27,20,14,52,543.05",437565
04-Nov-2025,EQ,"841.55","847.00","829.25","847.20","830.85","831.40","836.80","864.00","546.45",4673187,"3,91,05,04,409.20",79751
03-Nov-2025,EQ,"847.85","856.00","842.60","847.85","845.50","847.20","850.14","864.00","546.45",4885067,"4,15,29,82,250.35",66793
31-Oct-2025,EQ,"856.95","860.60","845.70","861.35","849.00","847.85","849.43","864.00","546.45",4138495,"3,51,53,71,215.45",64417
30-Oct-2025,EQ,"852.10","864.00","848.10","856.25","863.00","861.35","856.46","864.00","546.45",4704178,"4,02,89,29,998.90",84775
29-Oct-2025,EQ,"854.00","858.85","849.55","848.95","857.85","856.25","854.59","859.90","546.45",5663683,"4,84,01,44,450.25",108237
28-Oct-2025,EQ,"838.00","859.90","837.00","840.85","849.75","848.95","850.37","859.90","546.45",8010504,"6,81,18,82,836.45",155016
27-Oct-2025,EQ,"834.90","845.10","827.00","824.45","840.85","840.85","836.58","845.10","546.45",7308067,"6,11,37,93,404.65",126055
24-Oct-2025,EQ,"811.35","826.50","811.35","792.40","825.00","824.45","821.21","826.50","546.45",16905398,"13,88,28,73,634.90",215564
23-Oct-2025,EQ,"791.50","799.85","784.00","784.95","790.00","792.40","794.71","799.85","546.45",5916416,"4,70,18,27,490.10",79465
21-Oct-2025,EQ,"791.00","791.95","782.50","786.35","784.30","784.95","786.18","791.95","546.45",457667,"35,98,07,236.70",9515
20-Oct-2025,EQ,"774.30","789.45","772.05","772.80","787.35","786.35","782.49","790.60","546.45",4845432,"3,79,14,92,406.10",85264
