DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
02-Dec-2025,EQ,"976.00","980.45","964.90","973.10","969.90","967.30","973.23","999.00","680.00",13444314,"13,08,43,53,756.45",177697
01-Dec-2025,EQ,"985.45","991.20","969.85","979.00","972.60","973.10","979.16","999.00","680.00",8808306,"8,62,47,52,864.45",237856
28-Nov-2025,EQ,"976.80","983.00","973.05","972.85","976.35","979.00","978.89","999.00","680.00",8117842,"7,94,64,40,355.00",150394
27-Nov-2025,EQ,"986.70","988.55","968.90","983.90","973.00","972.85","975.62","999.00","680.00",11909168,"11,61,88,05,034.20",174267
26-Nov-2025,EQ,"986.60","999.00","982.15","983.60","983.05","983.90","989.40","999.00","680.00",13943490,"13,79,56,95,016.85",178538
25-Nov-2025,EQ,"975.55","988.95","971.35","970.60","983.50","983.60","983.32","988.95","680.00",9140201,"8,98,77,62,034.90",207975
24-Nov-2025,EQ,"975.55","977.70","968.05","972.60","969.70","970.60","972.30","986.60","680.00",9901946,"9,62,76,96,202.40",112062
21-Nov-2025,EQ,"979.70","980.60","971.05","981.55","972.45","972.60","975.11","986.60","680.00",5377241,"5,24,34,09,986.15",113553
20-Nov-2025,EQ,"986.00","986.60","979.35","982.75","981.05","981.55","982.12","986.60","680.00",6440857,"6,32,56,85,464.10",139178
19-Nov-2025,EQ,"972.45","984.45","968.80","972.45","980.50","982.75","979.31","984.45","680.00",8291226,"8,11,96,87,856.80",142097
18-Nov-2025,EQ,"975.60","976.70","968.85","973.35","971.30","972.45","972.74","976.70","680.00",6594686,"6,41,49,42,374.65",107945
17-Nov-2025,EQ,"971.00","976.00","968.50","967.85","973.00","973.35","973.09","976.00","680.00",7415026,"7,21,54,88,915.05",117287
14-Nov-2025,EQ,"952.95","969.05","952.00","954.00","967.95","967.85","962.38","971.40","680.00",11032927,"10,61,78,44,264.95",191862
13-Nov-2025,EQ,"954.25","963.95","952.45","957.15","954.90","954.00","957.93","971.40","680.00",8894441,"8,52,02,61,380.70",164831
12-Nov-2025,EQ,"957.70","961.55","951.40","953.30","953.70","957.15","958.12","971.40","680.00",7043323,"6,74,83,39,960.10",135063
11-Nov-2025,EQ,"953.60","954.95","945.05","951.15","954.00","953.30","951.16","971.40","680.00",8648917,"8,22,64,98,757.95",194994
10-Nov-2025,EQ,"956.00","963.20","949.10","955.85","950.55","951.15","952.71","971.40","680.00",7343249,"6,99,59,81,463.75",152876
07-Nov-2025,EQ,"958.75","964.85","944.00","960.75","954.80","955.85","955.55","971.40","680.00",13371323,"12,77,70,09,240.45",213279
06-Nov-2025,EQ,"969.65","971.40","955.30","957.60","959.85","960.75","962.26","971.40","680.00",23088096,"22,21,66,70,805.60",295608
04-Nov-2025,EQ,"951.00","959.30","941.50","949.70","954.60","957.60","951.24","959.30","680.00",19154518,"18,22,05,10,218.85",274272
03-Nov-2025,EQ,"938.75","953.40","937.50","937.00","948.60","949.70","948.05","953.40","680.00",11744735,"11,13,46,10,778.15",257905
31-Oct-2025,EQ,"934.90","946.70","930.25","934.35","937.50","937.00","939.16","946.70","680.00",12078252,"11,34,33,69,670.65",261943
30-Oct-2025,EQ,"939.45","944.90","933.05","939.75","934.50","934.35","938.89","944.90","680.00",13044473,"12,24,72,65,996.75",248310
29-Oct-2025,EQ,"933.90","942.05","930.25","930.25","939.00","939.75","937.90","942.05","680.00",12314222,"11,54,94,98,004.30",238682
28-Oct-2025,EQ,"927.10","935.85","917.70","922.75","930.50","930.25","927.38","935.85","680.00",22066289,"20,46,37,62,333.00",333815
27-Oct-2025,EQ,"906.95","928.00","906.00","904.50","926.90","922.75","918.09","928.00","680.00",9150761,"8,40,12,63,077.15",179901
24-Oct-2025,EQ,"910.95","914.10","900.95","911.55","904.00","904.50","905.66","918.00","680.00",5313227,"4,81,19,92,307.85",173275
23-Oct-2025,EQ,"912.00","918.00","904.80","907.85","909.10","911.55","913.11","918.00","680.00",13382769,"12,21,99,45,497.55",338233
21-Oct-2025,EQ,"908.00","910.00","906.40","907.50","907.05","907.85","907.99","913.65","680.00",1783576,"1,61,94,77,226.40",51138
20-Oct-2025,EQ,"894.60","913.65","891.05","889.15","907.00","907.50","905.33","913.65","680.00",13546463,"12,26,40,27,405.35",241758
17-Oct-2025,EQ,"887.50","894.75","883.00","886.95","888.00","889.15","888.75","894.75","680.00",8511854,"7,56,49,50,031.25",231474
16-Oct-2025,EQ,"888.30","891.85","882.45","886.10","886.20","886.95","887.32","891.85","680.00",8493686,"7,53,65,87,997.50",269552
15-Oct-2025,EQ,"878.10","887.50","877.05","876.95","886.90","886.10","884.42","888.10","680.00",8269225,"7,31,35,05,128.55",246174
14-Oct-2025,EQ,"883.00","884.15","872.10","882.95","876.00","876.95","876.97","888.10","680.00",7681973,"6,73,68,96,799.30",134593
13-Oct-2025,EQ,"879.00","888.10","876.00","880.65","884.00","882.95","884.03","888.10","680.00",11923143,"10,54,03,93,655.95",198375
10-Oct-2025,EQ,"862.10","883.75","861.30","862.10","881.25","880.65","879.53","883.75","680.00",13713015,"12,06,10,33,018.65",191535
09-Oct-2025,EQ,"861.60","865.80","858.10","858.25","861.40","862.10","861.48","880.50","680.00",7020501,"6,04,80,14,878.90",121377
08-Oct-2025,EQ,"866.80","867.80","857.25","864.70","857.30","858.25","860.69","880.50","680.00",7156112,"6,15,92,18,647.30",129510
07-Oct-2025,EQ,"874.15","877.00","863.00","874.05","864.15","864.70","868.32","880.50","680.00",9242580,"8,02,55,23,526.10",167126
