DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
03-Dec-2025,EQ,"250.60","257.13","250.55","250.17","254.20","254.69","255.04","585.55","228.00",17215454,"4,39,06,17,606.72",139700
02-Dec-2025,EQ,"250.00","251.45","248.87","250.28","250.74","250.17","249.96","585.55","228.00",8535708,"2,13,35,74,295.54",86860
01-Dec-2025,EQ,"250.10","250.75","248.86","249.53","250.10","250.28","250.08","585.55","228.00",3865446,"96,66,75,907.80",71087
28-Nov-2025,EQ,"251.00","251.99","248.60","249.56","249.55","249.53","249.95","596.00","228.00",7049965,"1,76,21,30,446.42",67376
27-Nov-2025,EQ,"250.40","251.92","247.69","250.19","249.30","249.56","249.68","596.00","228.00",5268129,"1,31,53,47,070.09",74342
26-Nov-2025,EQ,"246.00","250.55","245.62","245.64","250.08","250.19","248.94","596.00","228.00",8202096,"2,04,18,47,444.65",86257
25-Nov-2025,EQ,"248.00","248.00","244.00","247.27","245.59","245.64","245.87","596.00","228.00",8188793,"2,01,33,84,060.15",97736
24-Nov-2025,EQ,"245.02","249.38","245.02","244.49","247.44","247.27","247.61","596.00","228.00",19711070,"4,88,05,81,939.51",104905
21-Nov-2025,EQ,"245.00","247.25","243.61","246.26","244.61","244.49","245.32","596.00","228.00",5516450,"1,35,33,10,053.42",64254
20-Nov-2025,EQ,"247.50","247.80","245.71","246.07","246.38","246.26","246.32","596.00","228.00",6705862,"1,65,18,19,850.22",62389
19-Nov-2025,EQ,"241.20","246.85","240.54","240.90","246.06","246.07","245.17","596.00","228.00",13298452,"3,26,03,72,916.40",98584
18-Nov-2025,EQ,"242.93","244.00","240.30","244.05","241.00","240.90","241.73","596.00","228.00",4730012,"1,14,33,97,179.02",51881
17-Nov-2025,EQ,"243.97","244.78","242.69","244.37","243.70","244.05","243.79","596.00","228.00",6559062,"1,59,90,49,669.94",59521
14-Nov-2025,EQ,"243.92","245.90","242.15","245.33","245.15","244.37","243.59","596.00","228.00",6841554,"1,66,65,47,926.16",91626
13-Nov-2025,EQ,"246.00","246.00","244.00","245.22","245.34","245.33","245.37","596.00","228.00",6211124,"1,52,40,38,259.42",93441
12-Nov-2025,EQ,"242.75","246.30","242.10","241.69","245.39","245.22","245.02","596.00","228.00",13152546,"3,22,26,11,354.43",103627
11-Nov-2025,EQ,"241.10","242.05","238.81","239.84","241.75","241.69","240.70","596.00","228.00",8831094,"2,12,56,06,772.87",88771
10-Nov-2025,EQ,"237.44","241.55","237.02","236.49","239.85","239.84","239.84","596.00","228.00",8566758,"2,05,46,39,352.92",82903
07-Nov-2025,EQ,"238.70","239.25","236.00","240.05","236.75","236.49","236.77","596.00","228.00",5520619,"1,30,71,13,433.92",87628
06-Nov-2025,EQ,"240.00","240.62","238.37","237.92","240.05","240.05","239.71","596.00","228.00",7141517,"1,71,19,00,641.07",77981
04-Nov-2025,EQ,"240.50","240.84","237.52","240.50","238.30","237.92","238.37","596.00","228.00",6848284,"1,63,24,31,578.79",103001
03-Nov-2025,EQ,"240.67","241.29","239.50","240.67","240.72","240.50","240.43","596.00","228.00",4902693,"1,17,87,32,162.89",75660
31-Oct-2025,EQ,"242.11","243.19","240.50","241.92","240.90","240.67","241.46","596.00","228.00",5659566,"1,36,65,65,519.77",67133
30-Oct-2025,EQ,"242.89","244.77","240.50","242.28","242.00","241.92","241.98","596.00","228.00",8344622,"2,01,92,62,795.90",79344
29-Oct-2025,EQ,"243.60","243.60","241.64","242.38","242.65","242.28","242.40","596.00","228.00",8776917,"2,12,74,95,399.61",67295
28-Oct-2025,EQ,"243.66","244.70","241.40","243.91","242.70","242.38","242.41","596.00","228.00",8780789,"2,12,85,91,885.05",89491
27-Oct-2025,EQ,"243.29","245.73","243.06","242.98","243.90","243.91","244.35","596.00","228.00",9550336,"2,33,36,43,949.45",65767
24-Oct-2025,EQ,"245.00","245.88","242.16","244.30","243.25","242.98","243.83","596.00","228.00",6803979,"1,65,89,80,694.62",62407
23-Oct-2025,EQ,"244.80","247.80","243.37","241.36","244.30","244.30","245.57","596.00","228.00",18964626,"4,65,72,03,346.26",124858
21-Oct-2025,EQ,"241.00","242.16","240.36","241.24","241.19","241.36","241.57","596.00","228.00",2082336,"50,30,33,334.47",27617
20-Oct-2025,EQ,"240.90","241.94","239.27","240.90","241.43","241.24","240.96","596.00","228.00",9871824,"2,37,86,86,984.20",98492
17-Oct-2025,EQ,"250.00","250.00","239.11","253.81","240.68","240.90","241.63","596.00","228.00",43802251,"10,58,40,19,817.01",285578
16-Oct-2025,EQ,"250.40","254.07","248.80","250.21","253.70","253.81","252.33","596.00","228.00",10661302,"2,69,01,92,358.98",96120
15-Oct-2025,EQ,"250.00","252.13","248.54","248.42","250.40","250.21","250.19","596.00","228.00",13278925,"3,32,23,14,810.09",75741
14-Oct-2025,EQ,"245.80","250.15","245.11","245.13","247.80","248.42","248.16","596.00","228.00",7888607,"1,95,76,18,716.66",75705
