date,open,high,low,close,volume,oi
2024-01-03 00:00:00+05:30,88.4,88.5,87.05,88.0,45420000,90325000
2024-01-04 00:00:00+05:30,88.5,88.6,87.8,88.1,36710000,90740000
2024-01-05 00:00:00+05:30,88.15,89.1,86.9,87.7,45970000,92410000
2024-01-08 00:00:00+05:30,88.3,88.9,86.5,86.8,51490000,90755000
2024-01-09 00:00:00+05:30,87.0,88.1,86.1,86.4,37270000,91400000
2024-01-10 00:00:00+05:30,86.4,86.5,84.55,85.65,42760000,92155000
2024-01-11 00:00:00+05:30,86.2,86.6,85.55,85.95,36190000,91740000
2024-01-12 00:00:00+05:30,86.1,86.35,85.3,86.0,31190000,92900000
2024-01-15 00:00:00+05:30,86.45,86.7,85.4,86.0,42950000,91550000
2024-01-16 00:00:00+05:30,85.9,87.25,84.55,85.2,59240000,95025000
2024-01-17 00:00:00+05:30,84.5,84.8,82.75,83.15,11210000,89475000
2024-01-18 00:00:00+05:30,83.0,85.0,81.1,84.5,9950000,84730000
2024-01-19 00:00:00+05:30,84.1,85.0,82.65,84.4,6000000,83235000
2024-01-20 00:00:00+05:30,84.5,85.45,84.25,84.85,39020000,77015000
2024-01-23 00:00:00+05:30,85.15,85.35,81.9,82.5,112890000,47385000
2024-01-24 00:00:00+05:30,82.6,83.2,81.25,82.9,80930000,26770000
2024-01-25 00:00:00+05:30,82.9,83.85,81.65,82.35,91850000,7160000
2024-01-29 00:00:00+05:30,83.6,85.4,82.6,85.0,53590000,89455000
2024-01-30 00:00:00+05:30,85.2,85.3,84.05,84.25,36840000,90440000
2024-01-31 00:00:00+05:30,84.25,86.2,83.8,86.0,47620000,89510000
2024-02-01 00:00:00+05:30,86.7,86.8,84.7,85.2,41800000,92610000
2024-02-02 00:00:00+05:30,84.9,85.5,81.8,84.9,70460000,95825000
2024-02-05 00:00:00+05:30,85.8,89.1,84.45,87.7,202800000,105485000
2024-02-06 00:00:00+05:30,90.5,90.6,85.85,87.7,287190000,121150000
2024-02-07 00:00:00+05:30,88.7,88.85,85.75,86.4,19130000,111635000
2024-02-08 00:00:00+05:30,86.5,86.7,84.05,85.5,9050000,107145000
2024-02-09 00:00:00+05:30,85.5,85.5,82.5,84.1,7130000,103595000
2024-02-12 00:00:00+05:30,83.8,84.4,82.3,83.35,5790000,100705000
2024-02-13 00:00:00+05:30,82.7,84.75,81.7,83.8,4230000,98590000
2024-02-14 00:00:00+05:30,82.7,84.5,82.3,84.3,1670000,97755000
2024-02-15 00:00:00+05:30,84.4,85.0,84.1,84.5,1240000,97135000
2024-02-16 00:00:00+05:30,84.2,85.5,83.9,84.5,2510000,95880000
2024-02-19 00:00:00+05:30,84.1,84.5,83.25,83.95,1880000,94985000
2024-02-20 00:00:00+05:30,84.0,85.3,83.7,84.5,8970000,95045000
2024-02-21 00:00:00+05:30,85.1,86.5,82.8,83.1,130150000,98270000
2024-02-22 00:00:00+05:30,83.5,83.7,79.2,83.45,11940000,92320000
2024-02-23 00:00:00+05:30,83.7,84.55,82.9,83.9,8570000,88035000
2024-02-26 00:00:00+05:30,84.1,85.1,82.4,84.2,16200000,81445000
2024-02-27 00:00:00+05:30,84.4,85.2,83.9,84.8,155590000,38725000
2024-02-28 00:00:00+05:30,84.6,84.8,81.5,82.0,62130000,24675000
2024-02-29 00:00:00+05:30,81.9,82.8,81.3,82.4,89000000,6380000
2024-03-01 00:00:00+05:30,83.3,84.8,83.3,84.1,77060000,102070000
2024-03-02 00:00:00+05:30,84.4,84.65,84.0,84.4,5040000,102410000
2024-03-04 00:00:00+05:30,83.4,85.15,83.4,84.1,59010000,103390000
2024-03-05 00:00:00+05:30,83.8,84.8,83.8,83.95,30910000,106910000
2024-03-06 00:00:00+05:30,83.8,83.9,82.25,83.2,35790000,106785000
2024-03-07 00:00:00+05:30,83.3,83.9,83.2,83.4,26100000,106170000
2024-03-11 00:00:00+05:30,83.75,84.0,82.3,82.55,40540000,108060000
2024-03-12 00:00:00+05:30,82.6,82.8,81.2,81.45,36430000,108135000
2024-03-13 00:00:00+05:30,81.6,81.6,77.35,77.8,70210000,105175000
2024-03-14 00:00:00+05:30,77.4,80.0,76.65,79.8,42710000,99890000
2024-03-15 00:00:00+05:30,79.95,80.1,78.0,78.9,41160000,100935000
2024-03-18 00:00:00+05:30,78.75,79.4,77.7,79.1,36560000,100820000
2024-03-19 00:00:00+05:30,78.9,79.2,77.75,78.5,28210000,99630000
2024-03-20 00:00:00+05:30,78.7,79.05,77.7,78.6,26800000,97895000
2024-03-21 00:00:00+05:30,79.1,81.15,78.95,80.95,64490000,84225000
2024-03-22 00:00:00+05:30,80.95,81.7,80.6,81.2,81040000,64655000
2024-03-26 00:00:00+05:30,81.15,82.7,81.15,82.25,84980000,41860000
2024-03-27 00:00:00+05:30,82.7,83.2,81.95,82.15,61190000,24850000
2024-03-28 00:00:00+05:30,82.4,83.9,82.2,83.2,87800000,6315000
2024-04-01 00:00:00+05:30,84.25,85.4,84.25,85.15,56490000,85400000
2024-04-02 00:00:00+05:30,85.7,87.1,85.2,86.2,65840000,88625000
2024-04-03 00:00:00+05:30,86.4,88.1,85.8,87.6,44020000,87215000
2024-04-04 00:00:00+05:30,87.7,87.8,86.7,87.0,26500000,89510000
2024-04-05 00:00:00+05:30,87.0,88.65,86.1,88.4,50250000,91600000
2024-04-08 00:00:00+05:30,88.5,89.5,88.0,89.0,70910000,94985000
2024-04-09 00:00:00+05:30,88.9,89.15,87.9,88.4,31510000,94955000
2024-04-10 00:00:00+05:30,88.7,90.65,88.2,89.6,60750000,97915000
2024-04-12 00:00:00+05:30,89.2,90.7,88.8,89.45,52650000,98660000
2024-04-15 00:00:00+05:30,88.4,88.4,86.7,87.55,50120000,99350000
2024-04-16 00:00:00+05:30,86.5,88.7,86.3,88.25,41310000,99475000
2024-04-18 00:00:00+05:30,88.3,88.3,84.5,84.8,81550000,101750000
2024-04-19 00:00:00+05:30,85.6,85.6,83.1,84.8,56080000,93770000
2024-04-22 00:00:00+05:30,85.4,86.7,85.1,86.45,71290000,79175000
2024-04-23 00:00:00+05:30,86.4,87.5,86.1,87.3,76060000,53695000
2024-04-24 00:00:00+05:30,87.3,89.1,87.2,88.85,64500000,36905000
2024-04-25 00:00:00+05:30,88.2,89.2,88.2,88.8,91240000,2135000
2024-04-26 00:00:00+05:30,89.5,94.5,89.3,93.4,163090000,104960000
2024-04-29 00:00:00+05:30,94.0,94.75,93.1,93.4,63970000,105265000
2024-04-30 00:00:00+05:30,93.75,97.85,93.45,97.1,196240000,110165000
2024-05-02 00:00:00+05:30,98.0,101.85,97.8,101.65,190820000,108325000
2024-05-03 00:00:00+05:30,102.35,103.1,101.0,102.0,111700000,106400000
2024-05-06 00:00:00+05:30,102.9,103.15,100.8,101.2,75850000,106145000
2024-05-07 00:00:00+05:30,101.4,101.4,96.85,97.65,82140000,105860000
2024-05-08 00:00:00+05:30,97.75,100.5,96.9,99.8,64240000,104705000
2024-05-09 00:00:00+05:30,99.2,101.65,97.6,97.9,88410000,105350000
2024-05-10 00:00:00+05:30,98.6,100.55,97.7,99.75,53970000,105870000
2024-05-13 00:00:00+05:30,99.9,100.25,95.3,100.0,107930000,103575000
2024-05-14 00:00:00+05:30,100.4,103.5,100.2,102.9,95990000,103210000
2024-05-15 00:00:00+05:30,103.4,103.4,100.6,101.2,47490000,103510000
2024-05-16 00:00:00+05:30,101.6,104.2,101.6,103.8,113580000,104525000
2024-05-17 00:00:00+05:30,103.95,105.4,103.7,104.3,78660000,102450000
2024-05-18 00:00:00+05:30,104.8,105.7,104.5,105.45,18480000,101600000
2024-05-21 00:00:00+05:30,106.5,106.5,104.7,105.85,60920000,99520000
2024-05-22 00:00:00+05:30,106.0,106.0,103.2,104.2,53630000,97690000
2024-05-23 00:00:00+05:30,104.4,107.2,103.3,106.5,87940000,99670000
2024-05-24 00:00:00+05:30,105.8,109.8,103.5,105.5,273780000,86310000
2024-05-27 00:00:00+05:30,107.6,114.2,106.3,113.5,252240000,73760000
2024-05-28 00:00:00+05:30,113.7,115.3,112.4,113.65,116160000,48610000
2024-05-29 00:00:00+05:30,112.25,114.7,110.8,111.0,75120000,30090000
2024-05-30 00:00:00+05:30,110.9,111.7,109.2,109.85,79510000,5340000
2024-05-31 00:00:00+05:30,111.5,113.5,110.55,112.65,84070000,88350000
2024-06-03 00:00:00+05:30,116.6,119.7,115.8,118.9,104130000,84715000
2024-06-04 00:00:00+05:30,118.2,118.2,95.9,104.1,201770000,86780000
2024-06-05 00:00:00+05:30,107.2,112.95,102.8,112.25,141400000,85620000
2024-06-06 00:00:00+05:30,112.9,116.05,112.2,113.5,84000000,83620000
2024-06-07 00:00:00+05:30,113.7,116.3,112.55,116.0,67560000,81235000
2024-06-10 00:00:00+05:30,117.0,117.05,114.7,115.8,57070000,79070000
