date,open,high,low,close,volume,oi
2024-11-29 00:00:00+05:30,109.32,111.43,104.22,107.32,7348475,3464350
2024-12-02 00:00:00+05:30,106.8,106.85,102.73,105.77,8960025,6904575
2024-12-03 00:00:00+05:30,105.82,110.87,105.78,110.64,9230225,9693425
2024-12-04 00:00:00+05:30,110.58,115.35,110.58,114.29,21196225,15247000
2024-12-05 00:00:00+05:30,114.92,115.7,112.38,114.51,8636750,16158925
2024-12-06 00:00:00+05:30,115.15,116.49,112.91,114.23,10484725,17437550
2024-12-09 00:00:00+05:30,113.79,114.5,111.74,112.11,5471550,18098575
2024-12-10 00:00:00+05:30,111.93,113.22,111.35,111.79,4443825,19459225
2024-12-11 00:00:00+05:30,111.8,112.41,110.24,110.45,4458300,20506250
2024-12-12 00:00:00+05:30,110.19,111.17,108.7,109.43,4839475,20636525
2024-12-13 00:00:00+05:30,109.59,110.0,106.06,109.31,6002300,20250525
2024-12-16 00:00:00+05:30,109.39,111.93,109.35,110.46,4221875,20699250
2024-12-17 00:00:00+05:30,110.56,110.56,106.34,106.61,5732100,21673900
2024-12-18 00:00:00+05:30,106.6,106.7,103.98,104.39,7189250,21008050
2024-12-19 00:00:00+05:30,103.1,103.87,101.69,102.95,4940800,21336150
2024-12-20 00:00:00+05:30,102.57,102.96,98.99,99.23,13567900,15111900
2024-12-23 00:00:00+05:30,99.52,100.26,98.36,99.08,6547525,12593250
2024-12-24 00:00:00+05:30,98.95,99.32,98.36,99.02,9789925,8704300
2024-12-26 00:00:00+05:30,98.99,100.58,98.49,99.53,25157550,16868200
2024-12-27 00:00:00+05:30,100.07,101.12,99.87,99.99,3025275,22827075
2024-12-30 00:00:00+05:30,99.68,100.69,97.51,98.03,6788775,22769175
2024-12-31 00:00:00+05:30,97.7,99.13,97.08,98.67,5761050,23608725
2025-01-01 00:00:00+05:30,98.69,100.26,98.15,99.69,4704375,24511000
2025-01-02 00:00:00+05:30,100.84,101.88,97.38,100.73,13481050,24617150
2025-01-03 00:00:00+05:30,100.75,104.01,100.53,101.06,13582375,25987450
2025-01-06 00:00:00+05:30,102.74,103.22,95.28,95.96,18277100,26962100
2025-01-07 00:00:00+05:30,97.32,97.34,95.72,96.59,6904575,28009125
2025-01-08 00:00:00+05:30,96.49,97.0,94.66,96.54,8255575,28380650
2025-01-09 00:00:00+05:30,95.17,96.21,94.49,94.71,5432950,28670150
2025-01-10 00:00:00+05:30,94.62,95.1,90.72,90.97,10581225,28139400
2025-01-13 00:00:00+05:30,88.29,91.28,87.27,87.57,10542625,27473550
2025-01-14 00:00:00+05:30,89.73,92.4,88.53,91.79,16935750,26064650
2025-01-15 00:00:00+05:30,92.86,93.73,90.96,93.15,10064950,25987450
2025-01-16 00:00:00+05:30,94.54,97.44,94.37,96.59,12935825,27391525
2025-01-17 00:00:00+05:30,95.75,97.45,95.74,97.1,7758600,28810075
2025-01-20 00:00:00+05:30,97.17,99.58,96.29,98.44,6451025,29572425
2025-01-21 00:00:00+05:30,98.6,98.6,96.53,96.8,6701925,30035625
2025-01-22 00:00:00+05:30,97.55,97.55,93.56,95.73,10045650,29784725
2025-01-23 00:00:00+05:30,95.57,97.1,94.64,96.57,6388300,30344425
2025-01-24 00:00:00+05:30,97.15,97.73,94.67,95.14,7903350,29586900
2025-01-27 00:00:00+05:30,95.38,102.47,95.38,100.87,44206650,28588125
2025-01-28 00:00:00+05:30,101.8,107.58,101.25,105.91,27502500,25939200
2025-01-29 00:00:00+05:30,105.66,107.27,104.45,106.99,19473700,21461600
2025-01-30 00:00:00+05:30,107.0,109.21,106.12,107.37,20477300,12434025
2025-01-31 00:00:00+05:30,108.44,109.72,107.24,109.21,9727200,46377900
2025-02-01 00:00:00+05:30,109.28,109.43,103.11,105.1,10007050,48452650
2025-02-03 00:00:00+05:30,102.86,103.14,100.47,100.88,15362800,49924275
2025-02-04 00:00:00+05:30,103.22,106.23,102.15,103.54,16988825,51111225
2025-02-05 00:00:00+05:30,105.17,106.79,104.14,104.59,19898300,51757775
2025-02-06 00:00:00+05:30,105.04,105.61,103.75,104.24,7348475,50657675
2025-02-07 00:00:00+05:30,105.49,105.94,101.79,102.87,14224100,50672150
2025-02-10 00:00:00+05:30,103.9,103.9,100.02,100.73,8438925,50725225
2025-02-11 00:00:00+05:30,100.72,100.95,97.58,98.12,8072225,50585300
2025-02-12 00:00:00+05:30,98.89,99.82,94.83,99.32,11497975,52539425
2025-02-13 00:00:00+05:30,98.72,100.35,97.31,97.8,5780350,52563550
2025-02-14 00:00:00+05:30,98.51,98.76,94.46,96.01,7266450,52370550
2025-02-17 00:00:00+05:30,96.4,96.4,93.01,95.94,6200125,52988150
2025-02-18 00:00:00+05:30,95.34,95.35,92.24,92.96,8747725,52240275
2025-02-19 00:00:00+05:30,91.91,96.75,91.91,96.23,9321900,53166675
2025-02-20 00:00:00+05:30,95.3,101.61,95.13,101.25,13292875,52713125
2025-02-21 00:00:00+05:30,100.09,101.0,97.12,98.03,21809000,42136725
2025-02-24 00:00:00+05:30,97.28,98.36,96.48,97.52,24433800,25601450
2025-02-25 00:00:00+05:30,97.47,97.92,94.32,94.62,19961025,10084250
2025-02-27 00:00:00+05:30,94.62,95.63,92.6,93.13,20424225,8969675
2025-02-28 00:00:00+05:30,93.11,94.55,91.86,92.38,13350775,51834975
2025-03-03 00:00:00+05:30,93.48,93.5,89.88,92.53,9712725,52674525
2025-03-04 00:00:00+05:30,91.66,94.27,90.96,92.96,9490775,52843400
2025-03-05 00:00:00+05:30,92.23,95.72,92.23,94.99,11454550,55207650
2025-03-06 00:00:00+05:30,96.54,96.83,94.24,94.63,10552275,55859025
2025-03-07 00:00:00+05:30,94.28,95.23,93.46,94.16,7329175,56076150
2025-03-10 00:00:00+05:30,94.51,94.51,90.73,91.09,9177150,55579175
2025-03-11 00:00:00+05:30,89.84,92.13,88.77,91.81,11179525,53523725
2025-03-12 00:00:00+05:30,92.88,92.88,89.95,91.0,6629550,54165450
2025-03-13 00:00:00+05:30,91.67,92.33,90.62,91.07,5553575,54179925
2025-03-17 00:00:00+05:30,93.21,93.55,90.37,91.74,4492075,53885600
2025-03-18 00:00:00+05:30,91.81,95.88,91.79,95.49,9283300,52539425
2025-03-19 00:00:00+05:30,94.86,100.43,94.86,99.63,15724675,50701100
2025-03-20 00:00:00+05:30,99.87,100.84,98.16,98.78,10455775,47984625
2025-03-21 00:00:00+05:30,98.75,102.54,98.14,102.24,11787475,44587825
2025-03-24 00:00:00+05:30,102.2,104.96,102.18,103.89,21760750,32308200
2025-03-25 00:00:00+05:30,104.31,104.44,101.1,102.09,18967075,19338600
2025-03-26 00:00:00+05:30,100.86,103.68,100.86,101.89,15271125,7961250
2025-03-27 00:00:00+05:30,100.47,105.51,100.47,103.87,12839325,3671825
2025-03-28 00:00:00+05:30,104.75,105.94,103.61,103.91,10822475,50836200
2025-04-01 00:00:00+05:30,102.96,108.02,102.96,107.07,14716250,50676975
2025-04-02 00:00:00+05:30,107.25,108.52,104.57,107.95,12076975,49161925
2025-04-03 00:00:00+05:30,104.77,114.67,104.77,111.11,39396125,51892875
2025-04-04 00:00:00+05:30,110.41,111.93,106.86,107.81,20458000,51019550
