date,open,high,low,close,volume,oi
2024-01-03 00:00:00+05:30,182.9,186.05,181.5,183.6,31384200,77696700
2024-01-04 00:00:00+05:30,184.35,188.9,183.65,188.0,45406200,77713800
2024-01-05 00:00:00+05:30,189.3,189.5,184.7,186.85,34439400,75485100
2024-01-08 00:00:00+05:30,187.0,188.05,184.1,184.6,18382500,74248200
2024-01-09 00:00:00+05:30,185.45,187.65,185.05,185.5,17641500,73723800
2024-01-10 00:00:00+05:30,185.5,186.95,182.7,186.5,15481200,73575600
2024-01-11 00:00:00+05:30,187.4,188.5,184.6,185.15,14808600,74322300
2024-01-12 00:00:00+05:30,184.95,186.0,183.6,184.3,11861700,74875200
2024-01-15 00:00:00+05:30,185.35,190.55,184.4,189.25,44163600,77269200
2024-01-16 00:00:00+05:30,189.15,190.5,185.0,186.75,29617200,76853100
2024-01-17 00:00:00+05:30,185.95,188.8,183.8,185.8,31583700,77257800
2024-01-18 00:00:00+05:30,186.0,189.55,179.9,188.9,37238100,73113900
2024-01-19 00:00:00+05:30,191.0,193.65,189.9,192.0,33561600,70708500
2024-01-20 00:00:00+05:30,192.55,194.85,190.55,193.1,23626500,63498000
2024-01-23 00:00:00+05:30,194.65,194.9,183.55,186.65,47629200,42465000
2024-01-24 00:00:00+05:30,186.35,190.0,184.35,189.5,35721900,18975300
2024-01-25 00:00:00+05:30,189.7,192.1,188.15,189.25,24618300,4873500
2024-01-29 00:00:00+05:30,191.2,194.25,187.9,191.9,69807900,79788600
2024-01-30 00:00:00+05:30,192.45,192.6,187.8,188.7,35511000,86320800
2024-01-31 00:00:00+05:30,189.2,189.75,185.6,186.6,30990900,91388100
2024-02-01 00:00:00+05:30,186.6,188.65,181.95,184.0,43035000,97886100
2024-02-02 00:00:00+05:30,185.0,188.2,184.45,185.1,38594700,101613900
2024-02-05 00:00:00+05:30,186.4,186.8,179.5,181.3,39871500,106544400
2024-02-06 00:00:00+05:30,182.5,183.85,180.8,183.6,17442000,106464600
2024-02-07 00:00:00+05:30,184.65,184.65,179.85,182.05,18587700,108351300
2024-02-08 00:00:00+05:30,182.55,187.55,181.85,185.25,53477400,113709300
2024-02-09 00:00:00+05:30,186.05,186.05,177.0,181.5,45679800,110466000
2024-02-12 00:00:00+05:30,181.55,183.9,174.5,175.4,38019000,113481300
2024-02-13 00:00:00+05:30,175.4,177.8,172.65,177.3,27975600,114404700
2024-02-14 00:00:00+05:30,177.7,182.9,175.8,182.45,37215300,110061300
2024-02-15 00:00:00+05:30,183.05,186.5,183.0,186.25,27274500,106612800
2024-02-16 00:00:00+05:30,188.5,190.9,187.0,188.8,50046000,104104800
2024-02-19 00:00:00+05:30,190.05,192.6,188.9,189.35,41587200,100052100
2024-02-20 00:00:00+05:30,189.25,191.9,186.6,191.25,38537700,101311800
2024-02-21 00:00:00+05:30,192.0,192.85,187.15,188.8,37574400,97629600
2024-02-22 00:00:00+05:30,190.0,196.75,188.6,195.4,59718900,95680200
2024-02-23 00:00:00+05:30,196.5,206.8,196.05,205.55,119095800,87705900
2024-02-26 00:00:00+05:30,206.0,206.7,202.95,204.25,52115100,65458800
2024-02-27 00:00:00+05:30,203.8,208.9,203.3,205.25,44938800,42596100
2024-02-28 00:00:00+05:30,205.95,208.65,201.5,205.5,48803400,21620100
2024-02-29 00:00:00+05:30,205.9,207.15,199.75,205.3,32433000,6013500
2024-03-01 00:00:00+05:30,206.85,209.1,205.4,206.65,37335000,122778000
2024-03-02 00:00:00+05:30,208.0,208.0,207.0,207.75,4725300,122977500
2024-03-04 00:00:00+05:30,208.55,213.2,207.1,210.65,77502900,134212200
2024-03-05 00:00:00+05:30,211.6,214.0,210.5,211.75,53158200,139695600
2024-03-06 00:00:00+05:30,211.7,213.75,206.05,211.5,67203000,141149100
2024-03-07 00:00:00+05:30,212.45,217.75,212.4,216.25,115385100,138441600
2024-03-11 00:00:00+05:30,217.0,217.0,212.25,212.95,42276900,144204300
2024-03-12 00:00:00+05:30,211.25,211.45,202.0,204.75,66319500,147424800
2024-03-13 00:00:00+05:30,204.2,205.8,188.6,190.9,93166500,146153700
2024-03-14 00:00:00+05:30,190.0,197.7,186.8,196.2,69619800,153900000
2024-03-15 00:00:00+05:30,196.45,197.0,179.4,189.4,111058800,162421500
2024-03-18 00:00:00+05:30,189.25,192.0,187.15,189.95,34804200,160683000
2024-03-19 00:00:00+05:30,189.5,192.45,184.55,185.45,47914200,159765300
2024-03-20 00:00:00+05:30,186.75,187.65,182.3,187.25,39090600,153706200
2024-03-21 00:00:00+05:30,190.95,196.85,189.5,196.35,66536100,141565200
2024-03-22 00:00:00+05:30,195.65,199.35,192.8,197.6,57946200,119956500
2024-03-26 00:00:00+05:30,196.0,200.9,196.0,200.1,57746700,86252400
2024-03-27 00:00:00+05:30,200.45,204.15,198.6,199.8,49561500,59274300
2024-03-28 00:00:00+05:30,200.45,203.55,198.8,201.9,43023600,30899700
2024-04-01 00:00:00+05:30,205.55,214.15,204.9,212.75,100234500,147185400
