date,open,high,low,close,volume,oi
2024-01-03 00:00:00+05:30,1248.0,1251.8,1223.0,1242.55,1507000,5441500
2024-01-04 00:00:00+05:30,1230.05,1269.55,1224.15,1266.1,2009500,5430000
2024-01-05 00:00:00+05:30,1251.55,1274.95,1251.55,1269.95,1623000,5274000
2024-01-08 00:00:00+05:30,1253.95,1279.0,1252.15,1260.8,2457500,5249000
2024-01-09 00:00:00+05:30,1265.45,1294.5,1265.2,1278.75,2616500,5460500
2024-01-10 00:00:00+05:30,1278.3,1290.5,1257.2,1286.55,2088000,5587500
2024-01-11 00:00:00+05:30,1288.65,1300.25,1276.95,1279.35,1647500,5519500
2024-01-12 00:00:00+05:30,1276.0,1277.05,1234.0,1253.45,2554500,5649000
2024-01-15 00:00:00+05:30,1252.05,1265.25,1248.15,1258.35,1022000,5555000
2024-01-16 00:00:00+05:30,1250.3,1259.45,1223.65,1229.7,1746500,5628500
2024-01-17 00:00:00+05:30,1225.6,1236.25,1206.6,1209.25,1411000,5681500
2024-01-18 00:00:00+05:30,1203.05,1238.65,1190.15,1227.45,2688000,5653000
2024-01-19 00:00:00+05:30,1226.6,1242.2,1223.25,1238.9,1404500,5317500
2024-01-20 00:00:00+05:30,1244.35,1244.6,1223.5,1225.35,435000,5197500
2024-01-23 00:00:00+05:30,1215.5,1232.15,1186.1,1191.05,3171500,3176500
2024-01-24 00:00:00+05:30,1196.55,1216.0,1178.9,1214.5,2559500,1611500
2024-01-25 00:00:00+05:30,1220.45,1220.45,1189.5,1202.2,1914000,727500
2024-01-29 00:00:00+05:30,1209.05,1260.25,1205.4,1253.35,3479000,5799500
2024-01-30 00:00:00+05:30,1254.3,1260.7,1214.5,1216.95,1609000,5893500
2024-01-31 00:00:00+05:30,1228.9,1249.25,1212.0,1241.1,1430500,5812000
2024-02-01 00:00:00+05:30,1238.7,1252.3,1223.75,1235.85,1441000,5780500
2024-02-02 00:00:00+05:30,1241.5,1260.0,1238.65,1245.9,1696500,6024500
2024-02-05 00:00:00+05:30,1242.55,1282.55,1242.55,1279.25,3572500,6589500
2024-02-06 00:00:00+05:30,1287.95,1313.0,1282.1,1293.55,3312000,6331500
2024-02-07 00:00:00+05:30,1298.1,1304.0,1281.05,1292.9,1473000,6416000
2024-02-08 00:00:00+05:30,1288.7,1301.4,1273.05,1289.3,2001500,6637500
2024-02-09 00:00:00+05:30,1286.7,1327.15,1277.8,1320.0,7175500,7373500
2024-02-12 00:00:00+05:30,1328.2,1334.0,1114.9,1133.8,19902500,8325000
2024-02-13 00:00:00+05:30,1160.0,1160.0,1064.25,1091.4,10152000,8315000
2024-02-14 00:00:00+05:30,1080.0,1121.85,1072.5,1107.15,4574000,8383000
2024-02-15 00:00:00+05:30,1112.35,1116.85,1095.65,1110.15,2078500,8301500
2024-02-16 00:00:00+05:30,1118.05,1137.0,1104.9,1132.6,3094500,8334000
2024-02-19 00:00:00+05:30,1141.85,1142.2,1118.0,1125.35,1634000,8134500
2024-02-20 00:00:00+05:30,1133.9,1133.9,1101.55,1120.0,2014000,7993500
2024-02-21 00:00:00+05:30,1123.7,1141.0,1112.9,1119.95,2277000,7646500
2024-02-22 00:00:00+05:30,1118.2,1135.85,1108.1,1133.3,2170000,7377000
2024-02-23 00:00:00+05:30,1140.0,1146.3,1126.05,1131.7,1968000,7086500
2024-02-26 00:00:00+05:30,1137.7,1180.0,1118.7,1175.6,6861500,5478500
2024-02-27 00:00:00+05:30,1177.3,1195.4,1170.75,1179.6,4316500,3241000
2024-02-28 00:00:00+05:30,1176.6,1182.35,1140.7,1149.95,2177500,1958500
2024-02-29 00:00:00+05:30,1142.1,1156.05,1132.6,1147.7,2830500,769500
2024-03-01 00:00:00+05:30,1160.0,1192.7,1160.0,1188.9,2021000,7655500
2024-03-02 00:00:00+05:30,1187.95,1189.85,1177.7,1184.3,171500,7680000
2024-03-04 00:00:00+05:30,1184.45,1193.75,1173.9,1190.0,2723500,7123000
2024-03-05 00:00:00+05:30,1191.0,1211.7,1180.7,1189.5,1863500,7155500
2024-03-06 00:00:00+05:30,1190.6,1190.6,1153.3,1183.05,1974500,7222500
2024-03-07 00:00:00+05:30,1187.3,1194.5,1176.45,1179.5,998500,7247500
2024-03-11 00:00:00+05:30,1183.15,1185.5,1149.25,1164.65,2869500,7458000
2024-03-12 00:00:00+05:30,1164.1,1169.95,1140.4,1159.9,1749500,7271500
2024-03-13 00:00:00+05:30,1149.95,1168.1,1111.15,1121.3,3598000,7706500
2024-03-14 00:00:00+05:30,1107.6,1132.1,1100.0,1118.35,2116000,7751000
2024-03-15 00:00:00+05:30,1119.4,1132.1,1100.85,1120.05,1938500,7507500
2024-03-18 00:00:00+05:30,1115.15,1120.9,1091.95,1117.05,2376000,7268500
2024-03-19 00:00:00+05:30,1136.2,1136.2,1098.0,1113.9,1145500,7203500
2024-03-20 00:00:00+05:30,1120.2,1120.2,1092.25,1096.5,1532000,6985500
2024-03-21 00:00:00+05:30,1105.05,1125.9,1098.3,1106.65,3008000,7048500
2024-03-22 00:00:00+05:30,1112.15,1135.0,1104.45,1131.95,4211000,4851500
2024-03-26 00:00:00+05:30,1132.25,1143.65,1129.8,1134.15,2774500,3237500
2024-03-27 00:00:00+05:30,1138.0,1146.0,1110.15,1113.55,2653000,1593500
2024-03-28 00:00:00+05:30,1117.85,1133.35,1103.15,1127.45,2412000,324500
2024-04-01 00:00:00+05:30,1127.05,1159.6,1127.05,1153.6,2430000,6816000
2024-04-02 00:00:00+05:30,1143.75,1163.0,1143.75,1160.35,1316500,6610500
2024-04-03 00:00:00+05:30,1135.0,1146.85,1105.1,1144.1,2413500,6871000
2024-04-04 00:00:00+05:30,1152.55,1174.95,1141.65,1153.15,3389000,7291000
2024-04-05 00:00:00+05:30,1154.5,1155.85,1137.1,1146.7,1136000,7317000
2024-04-08 00:00:00+05:30,1150.35,1184.0,1139.5,1179.35,4345500,6802000
2024-04-09 00:00:00+05:30,1185.05,1186.15,1144.65,1151.5,1674500,6849000
2024-04-10 00:00:00+05:30,1169.9,1183.6,1153.45,1180.15,1897500,6577500
2024-04-12 00:00:00+05:30,1179.95,1186.9,1162.7,1167.15,1703500,6743500
2024-04-15 00:00:00+05:30,1156.5,1175.35,1155.0,1168.6,2748500,6673500
2024-04-16 00:00:00+05:30,1170.55,1188.5,1163.25,1181.9,2128000,6620000
2024-04-18 00:00:00+05:30,1181.85,1199.6,1177.0,1186.05,2500000,6172500
2024-04-19 00:00:00+05:30,1175.0,1195.0,1158.85,1190.05,2168000,6118500
2024-04-22 00:00:00+05:30,1201.4,1211.75,1196.2,1204.6,3879000,4352500
2024-04-23 00:00:00+05:30,1205.55,1211.8,1194.35,1208.4,2613500,2516000
2024-04-24 00:00:00+05:30,1211.25,1231.7,1208.4,1223.85,2485500,935500
2024-04-25 00:00:00+05:30,1240.0,1326.3,1237.0,1310.55,2274500,260500
2024-04-26 00:00:00+05:30,1319.0,1335.0,1316.05,1319.75,1589500,6386500
2024-04-29 00:00:00+05:30,1320.0,1327.7,1284.05,1293.55,2566500,6377000
2024-04-30 00:00:00+05:30,1304.95,1310.25,1276.55,1280.95,1411000,6525000
2024-05-02 00:00:00+05:30,1284.7,1296.05,1273.05,1284.95,1206500,6651500
2024-05-03 00:00:00+05:30,1283.85,1291.25,1253.35,1262.4,1849000,6637500
2024-05-06 00:00:00+05:30,1270.0,1270.0,1244.2,1253.05,2391500,6769500
2024-05-07 00:00:00+05:30,1255.7,1257.3,1227.0,1243.75,2493500,6710500
2024-05-08 00:00:00+05:30,1242.55,1447.35,1214.0,1411.55,22125000,7048000
2024-05-09 00:00:00+05:30,1408.0,1466.65,1395.1,1420.2,11776500,6395000
2024-05-10 00:00:00+05:30,1422.1,1442.1,1397.55,1404.85,3382000,6309500
2024-05-13 00:00:00+05:30,1399.75,1427.4,1375.5,1418.55,4334000,6176000
2024-05-14 00:00:00+05:30,1417.0,1453.7,1412.25,1446.85,2500500,6074500
2024-05-15 00:00:00+05:30,1461.2,1468.65,1436.05,1464.1,2655500,5886500
2024-05-16 00:00:00+05:30,1457.55,1495.7,1457.55,1489.35,3313500,5931000
2024-05-17 00:00:00+05:30,1489.6,1494.0,1476.6,1483.25,1716500,5929500
2024-05-18 00:00:00+05:30,1494.95,1494.95,1478.8,1493.4,259000,5943500
2024-05-21 00:00:00+05:30,1481.1,1514.05,1472.2,1507.6,2377000,5884000
2024-05-22 00:00:00+05:30,1506.25,1514.35,1465.05,1481.15,1904000,5694000
2024-05-23 00:00:00+05:30,1466.35,1501.45,1466.2,1495.9,1355000,5575500
2024-05-24 00:00:00+05:30,1493.6,1587.55,1483.9,1573.3,5759500,5013500
2024-05-27 00:00:00+05:30,1581.0,1594.45,1537.75,1578.7,5889000,3991000
2024-05-28 00:00:00+05:30,1579.15,1602.95,1561.7,1571.25,2913000,2560500
2024-05-29 00:00:00+05:30,1572.95,1578.4,1550.0,1572.75,2003500,1362000
2024-05-30 00:00:00+05:30,1557.55,1579.4,1550.95,1556.2,1368500,781000
2024-05-31 00:00:00+05:30,1552.5,1596.75,1552.5,1568.25,2996500,5284500
2024-06-03 00:00:00+05:30,1620.0,1659.7,1595.05,1620.3,3607000,5347000
2024-06-04 00:00:00+05:30,1624.75,1624.75,1420.0,1452.1,5507000,5801500
2024-06-05 00:00:00+05:30,1452.1,1517.0,1408.0,1505.8,4953000,6487000
2024-06-06 00:00:00+05:30,1512.0,1582.95,1500.0,1559.95,3242000,6289500
2024-06-07 00:00:00+05:30,1548.35,1591.95,1544.5,1586.6,1987500,6161500
