date,open,high,low,close,volume,oi
2024-01-03 00:00:00+05:30,203.0,203.0,194.2,195.15,71232000,100632000
2024-01-04 00:00:00+05:30,196.25,198.1,192.45,196.4,42435750,99303750
2024-01-05 00:00:00+05:30,196.65,199.0,193.6,196.9,45780000,96589500
2024-01-08 00:00:00+05:30,196.55,201.15,194.3,195.9,48693750,98238000
2024-01-09 00:00:00+05:30,197.2,200.25,195.2,196.5,38766000,94258500
2024-01-10 00:00:00+05:30,197.1,202.0,192.45,200.6,71762250,94458000
2024-01-11 00:00:00+05:30,202.4,202.8,197.1,198.55,50956500,102217500
2024-01-12 00:00:00+05:30,197.8,199.4,196.0,196.9,4462500,97770750
2024-01-15 00:00:00+05:30,203.55,204.0,199.0,201.5,13933500,83905500
2024-01-16 00:00:00+05:30,202.1,204.35,197.25,203.9,11518500,77952000
2024-01-17 00:00:00+05:30,201.0,213.8,200.15,207.75,141125250,76350750
2024-01-18 00:00:00+05:30,208.5,213.8,196.0,212.9,96642000,74686500
2024-01-19 00:00:00+05:30,214.9,223.5,212.55,222.8,84141750,68528250
2024-01-20 00:00:00+05:30,224.0,225.35,217.45,219.4,33547500,60784500
2024-01-23 00:00:00+05:30,219.9,222.0,200.8,202.25,74749500,38272500
2024-01-24 00:00:00+05:30,203.0,210.35,200.15,209.95,47045250,18957750
2024-01-25 00:00:00+05:30,210.45,220.85,210.45,219.95,32376750,5554500
2024-01-29 00:00:00+05:30,222.25,223.8,220.3,222.5,32781000,83669250
2024-01-30 00:00:00+05:30,223.55,236.0,223.45,229.6,82209750,83952750
2024-01-31 00:00:00+05:30,229.1,233.5,226.3,229.8,34329750,85958250
2024-02-01 00:00:00+05:30,229.85,232.8,223.8,228.8,43611750,87024000
2024-02-02 00:00:00+05:30,230.25,237.25,229.65,234.65,58705500,84939750
2024-02-05 00:00:00+05:30,234.15,244.25,233.0,235.5,57692250,80703000
2024-02-06 00:00:00+05:30,236.5,236.5,229.05,233.15,30880500,83711250
2024-02-07 00:00:00+05:30,235.0,238.6,228.6,232.0,40729500,83753250
2024-02-08 00:00:00+05:30,232.95,238.25,230.8,231.9,48205500,86787750
2024-02-09 00:00:00+05:30,236.0,238.0,217.4,227.95,86399250,84735000
2024-02-12 00:00:00+05:30,228.2,231.0,215.1,217.1,60663750,85422750
2024-02-13 00:00:00+05:30,217.95,217.95,202.25,214.25,130793250,88152750
2024-02-14 00:00:00+05:30,204.55,226.85,204.0,225.3,80288250,87407250
2024-02-15 00:00:00+05:30,227.6,233.95,225.7,228.65,52332000,85627500
2024-02-16 00:00:00+05:30,229.4,231.15,225.65,226.55,31395000,82167750
2024-02-19 00:00:00+05:30,227.65,230.9,225.35,226.1,23346750,79989000
2024-02-20 00:00:00+05:30,226.3,234.15,226.1,231.4,41055000,75810000
2024-02-21 00:00:00+05:30,232.75,232.75,220.4,222.2,38214750,76744500
2024-02-22 00:00:00+05:30,224.25,229.95,220.9,229.1,35532000,75846750
2024-02-23 00:00:00+05:30,229.7,233.6,228.35,229.4,35127750,70754250
2024-02-26 00:00:00+05:30,229.35,231.7,226.0,227.7,30381750,60427500
2024-02-27 00:00:00+05:30,226.5,228.05,222.0,223.4,38886750,40818750
2024-02-28 00:00:00+05:30,223.65,229.9,220.4,224.05,42477750,27121500
2024-02-29 00:00:00+05:30,224.65,232.7,219.4,227.15,53303250,5822250
2024-03-01 00:00:00+05:30,230.6,238.45,230.15,237.0,76545000,89381250
2024-03-02 00:00:00+05:30,239.0,239.0,237.0,237.7,6179250,89244750
2024-03-04 00:00:00+05:30,239.0,277.1,238.05,265.75,307056750,99314250
2024-03-05 00:00:00+05:30,266.0,273.0,255.6,268.3,124960500,86058000
2024-03-06 00:00:00+05:30,270.65,272.65,250.15,256.85,128110500,82110000
2024-03-07 00:00:00+05:30,257.1,262.45,255.9,258.8,40587750,79794750
2024-03-11 00:00:00+05:30,259.3,260.85,255.0,255.75,34797000,78156750
2024-03-12 00:00:00+05:30,255.65,256.9,244.35,245.5,46184250,83102250
2024-03-13 00:00:00+05:30,246.1,247.25,223.25,226.35,72240000,84477750
2024-03-14 00:00:00+05:30,224.9,233.45,223.15,227.3,72843750,86919000
2024-03-15 00:00:00+05:30,225.3,227.8,207.65,217.6,9843750,78477000
2024-03-18 00:00:00+05:30,215.4,227.3,214.5,225.1,2478000,76429500
2024-03-19 00:00:00+05:30,225.6,226.5,217.8,219.3,2735250,74544750
2024-03-20 00:00:00+05:30,222.95,226.4,216.15,225.75,3391500,72597000
2024-03-21 00:00:00+05:30,229.85,238.4,228.55,237.9,56075250,63903000
2024-03-22 00:00:00+05:30,236.6,240.8,235.1,239.2,33563250,48861750
2024-03-26 00:00:00+05:30,238.7,241.35,236.4,240.7,30644250,33059250
2024-03-27 00:00:00+05:30,241.35,249.45,241.3,243.55,33873000,19498500
2024-03-28 00:00:00+05:30,252.2,252.9,245.35,247.25,27189750,9948750
2024-04-01 00:00:00+05:30,249.85,256.65,249.85,255.75,39012750,79899750
2024-04-02 00:00:00+05:30,255.35,256.7,251.55,254.25,28628250,84194250
2024-04-03 00:00:00+05:30,252.25,256.25,250.2,253.25,32229750,87832500
2024-04-04 00:00:00+05:30,254.1,258.2,248.5,252.9,35353500,89507250
2024-04-05 00:00:00+05:30,252.5,256.8,248.8,255.95,25063500,87470250
2024-04-08 00:00:00+05:30,255.6,258.8,254.55,257.05,26638500,87197250
2024-04-09 00:00:00+05:30,257.65,260.45,253.75,256.15,28665000,84325500
2024-04-10 00:00:00+05:30,256.45,265.6,256.25,262.75,52410750,80818500
2024-04-12 00:00:00+05:30,260.55,270.15,258.5,262.95,48536250,78072750
2024-04-15 00:00:00+05:30,256.9,262.9,253.05,256.75,36813000,77012250
2024-04-16 00:00:00+05:30,255.35,260.9,252.0,258.55,27709500,77511000
2024-04-18 00:00:00+05:30,259.25,263.3,251.55,253.3,40729500,74487000
2024-04-19 00:00:00+05:30,251.05,256.55,246.1,254.2,31956750,69657000
2024-04-22 00:00:00+05:30,254.7,261.5,254.2,260.05,41532750,50951250
2024-04-23 00:00:00+05:30,261.3,264.35,259.9,260.65,37495500,31431750
2024-04-24 00:00:00+05:30,260.75,265.8,258.45,264.3,31290000,16359000
2024-04-25 00:00:00+05:30,264.45,274.25,264.25,271.65,29484000,2945250
2024-04-26 00:00:00+05:30,275.85,283.0,275.85,280.75,48586125,78713250
2024-04-29 00:00:00+05:30,282.3,283.3,276.3,278.7,25323375,77337750
2024-04-30 00:00:00+05:30,279.05,286.5,278.85,283.2,46276125,77650125
2024-05-02 00:00:00+05:30,283.7,301.5,283.3,294.7,70297500,73836000
2024-05-03 00:00:00+05:30,296.4,320.35,295.5,307.65,120931125,69775125
2024-05-06 00:00:00+05:30,309.4,310.0,281.75,289.7,88727625,63811125
2024-05-07 00:00:00+05:30,289.7,291.4,277.25,282.05,47436375,63157500
2024-05-08 00:00:00+05:30,279.95,292.85,279.65,288.35,38044125,63706125
2024-05-09 00:00:00+05:30,287.15,288.1,272.8,274.0,38479875,63438375
2024-05-10 00:00:00+05:30,275.55,278.35,268.05,275.9,33140625,62863500
2024-05-13 00:00:00+05:30,275.75,287.75,268.25,284.95,44207625,63456750
2024-05-14 00:00:00+05:30,285.2,290.7,282.85,289.85,28762125,63735000
2024-05-15 00:00:00+05:30,289.95,294.2,288.9,292.55,24472875,62517000
2024-05-16 00:00:00+05:30,293.25,298.4,288.35,296.3,29935500,61136250
2024-05-17 00:00:00+05:30,296.5,302.95,294.8,301.15,35980875,63099750
2024-05-18 00:00:00+05:30,302.65,314.2,302.65,311.45,26160750,64800750
2024-05-21 00:00:00+05:30,311.0,323.75,309.1,320.55,75250875,67984875
2024-05-22 00:00:00+05:30,302.45,309.9,295.45,302.4,94303125,60564000
