date,open,high,low,close,volume,oi
2024-01-03 00:00:00+05:30,5290.65,5338.5,5270.1,5280.15,276800,2447000
2024-01-04 00:00:00+05:30,5263.35,5381.9,5230.15,5367.1,612800,2484600
2024-01-05 00:00:00+05:30,5365.75,5374.55,5280.45,5299.15,498400,2409200
2024-01-08 00:00:00+05:30,5286.8,5294.15,5196.5,5201.45,469600,2432400
2024-01-09 00:00:00+05:30,5216.15,5232.8,5135.55,5144.25,403000,2407200
2024-01-10 00:00:00+05:30,5148.65,5164.0,5072.15,5112.05,325800,2387400
2024-01-11 00:00:00+05:30,5120.35,5195.95,5098.9,5139.6,513800,2392600
2024-01-12 00:00:00+05:30,5140.0,5239.3,5100.2,5159.45,582600,2397600
2024-01-15 00:00:00+05:30,5191.9,5215.1,5130.35,5186.4,367600,2448200
2024-01-16 00:00:00+05:30,5183.3,5224.7,5127.3,5138.15,366800,2429800
2024-01-17 00:00:00+05:30,5169.95,5169.95,5071.4,5075.15,380200,2400600
2024-01-18 00:00:00+05:30,5052.9,5084.3,4988.0,5031.8,463000,2416600
2024-01-19 00:00:00+05:30,5032.65,5154.0,5021.65,5141.15,419800,2265600
2024-01-20 00:00:00+05:30,5177.8,5237.95,5135.15,5157.75,341000,2261000
2024-01-23 00:00:00+05:30,5168.0,5197.85,4932.0,5037.35,1542800,1475400
2024-01-24 00:00:00+05:30,5028.25,5177.75,5017.05,5155.7,1464000,1096200
2024-01-25 00:00:00+05:30,5138.65,5245.45,5110.15,5145.4,640400,969400
2024-01-29 00:00:00+05:30,5153.8,5230.65,5128.55,5161.3,459600,2331200
2024-01-30 00:00:00+05:30,5142.05,5209.6,5115.05,5125.25,235200,2264400
2024-01-31 00:00:00+05:30,5112.9,5216.3,5065.05,5196.05,663600,2292600
2024-02-01 00:00:00+05:30,5210.6,5225.7,5130.3,5148.95,608400,2364000
2024-02-02 00:00:00+05:30,5150.3,5212.6,5141.5,5170.1,306800,2377000
2024-02-05 00:00:00+05:30,5158.6,5234.0,5082.9,5114.35,469800,2421800
2024-02-06 00:00:00+05:30,5064.75,5126.0,5001.1,5016.35,678600,2416200
2024-02-07 00:00:00+05:30,5111.9,5199.9,4949.4,5108.55,2396000,2365400
2024-02-08 00:00:00+05:30,5122.2,5141.95,4854.05,4896.7,1269600,2627400
2024-02-09 00:00:00+05:30,4928.55,4994.8,4886.65,4990.25,662000,2511400
2024-02-12 00:00:00+05:30,4956.85,5020.4,4956.85,4985.0,362800,2492400
2024-02-13 00:00:00+05:30,4950.0,5060.0,4950.0,4999.6,479800,2478800
2024-02-14 00:00:00+05:30,4990.0,5045.0,4951.05,5033.7,395600,2476000
2024-02-15 00:00:00+05:30,5050.0,5055.95,4950.65,4969.95,299800,2498400
2024-02-16 00:00:00+05:30,4980.05,4989.45,4914.45,4932.8,635600,2470200
2024-02-19 00:00:00+05:30,4972.55,4972.55,4903.25,4937.5,387200,2440800
2024-02-20 00:00:00+05:30,4937.2,4943.0,4893.95,4933.85,282400,2402400
2024-02-21 00:00:00+05:30,4933.85,4995.0,4905.0,4934.4,455000,2397000
2024-02-22 00:00:00+05:30,4922.55,4975.55,4876.55,4961.15,476400,2414600
2024-02-23 00:00:00+05:30,4950.3,4981.3,4922.95,4939.2,480800,2157600
2024-02-26 00:00:00+05:30,4953.0,4953.0,4901.3,4907.4,590600,1760600
2024-02-27 00:00:00+05:30,4898.1,4935.0,4895.7,4916.4,929400,1054400
2024-02-28 00:00:00+05:30,4907.5,4922.55,4866.3,4885.65,534000,728600
2024-02-29 00:00:00+05:30,4860.0,4987.45,4829.75,4961.05,933800,82200
2024-03-01 00:00:00+05:30,4994.05,5011.6,4947.0,4953.35,368200,2484800
2024-03-02 00:00:00+05:30,4960.05,4965.0,4948.5,4952.15,22600,2484000
2024-03-04 00:00:00+05:30,4951.1,4958.9,4866.75,4871.3,473800,2514000
2024-03-05 00:00:00+05:30,4867.95,4892.85,4841.0,4853.85,246400,2523800
2024-03-06 00:00:00+05:30,4844.45,4905.0,4816.0,4898.3,337400,2517800
2024-03-07 00:00:00+05:30,4854.6,4930.0,4854.5,4904.8,307600,2468600
2024-03-11 00:00:00+05:30,4903.05,4983.75,4887.05,4948.55,430200,2395200
2024-03-12 00:00:00+05:30,4926.8,4955.7,4877.0,4888.75,384200,2385600
2024-03-13 00:00:00+05:30,4883.9,4987.95,4848.05,4869.45,745400,2396600
2024-03-14 00:00:00+05:30,4812.1,4970.85,4792.8,4956.0,590200,2274000
2024-03-15 00:00:00+05:30,4949.2,5024.4,4932.4,4991.1,687600,2201800
2024-03-18 00:00:00+05:30,4994.15,5018.0,4974.0,4991.05,284000,2198400
2024-03-19 00:00:00+05:30,4991.05,5001.25,4805.1,4823.6,439200,2234400
2024-03-20 00:00:00+05:30,4821.15,4843.95,4772.95,4813.95,366400,2171800
2024-03-21 00:00:00+05:30,4836.9,4836.9,4781.15,4818.7,507600,2109000
2024-03-22 00:00:00+05:30,4811.9,4913.85,4797.2,4879.6,1057600,1633800
2024-03-26 00:00:00+05:30,4795.85,4989.75,4762.3,4976.1,1282800,915600
2024-03-27 00:00:00+05:30,4923.25,4985.3,4882.5,4923.75,614400,557200
2024-03-28 00:00:00+05:30,4920.9,4943.25,4876.0,4907.2,551000,298000
2024-04-01 00:00:00+05:30,4922.9,4955.75,4890.0,4906.1,271200,1694000
2024-04-02 00:00:00+05:30,4896.15,4915.9,4882.75,4910.25,216400,1691000
2024-04-03 00:00:00+05:30,4899.25,4899.25,4825.0,4852.55,488200,1717800
2024-04-04 00:00:00+05:30,4838.05,4865.9,4801.0,4819.35,457800,1749600
2024-04-05 00:00:00+05:30,4792.4,4848.1,4790.0,4831.5,252400,1755600
