date,open,high,low,close,volume,oi
2024-11-29 00:00:00+05:30,997.9,1040.0,987.6,992.6,923750,74500
2024-12-02 00:00:00+05:30,1000.0,1036.0,997.3,1026.5,1321875,134625
2024-12-03 00:00:00+05:30,1029.0,1029.8,1004.6,1026.2,623125,150250
2024-12-04 00:00:00+05:30,1026.4,1045.0,1023.5,1041.4,825625,157625
2024-12-05 00:00:00+05:30,1042.1,1077.3,1029.3,1053.6,2296250,219375
2024-12-06 00:00:00+05:30,1055.9,1055.9,1012.0,1018.8,1789375,335125
2024-12-09 00:00:00+05:30,1012.4,1067.0,1008.4,1059.3,3359375,365750
2024-12-10 00:00:00+05:30,1059.5,1060.7,1036.4,1046.8,1243125,425125
2024-12-11 00:00:00+05:30,1047.1,1065.0,1044.2,1049.2,1459375,507750
2024-12-12 00:00:00+05:30,1055.0,1077.4,1051.1,1059.2,1726250,508250
2024-12-13 00:00:00+05:30,1057.0,1057.5,1030.4,1039.8,1642500,585875
2024-12-16 00:00:00+05:30,1043.9,1047.6,1029.5,1044.1,850625,556250
2024-12-17 00:00:00+05:30,1042.2,1050.0,1023.2,1027.9,827500,540125
2024-12-18 00:00:00+05:30,1033.6,1035.2,1014.8,1025.9,761875,527000
2024-12-19 00:00:00+05:30,999.8,1029.8,989.4,1023.1,1351875,468375
2024-12-20 00:00:00+05:30,1030.0,1036.4,988.4,992.3,1367500,357875
2024-12-23 00:00:00+05:30,996.3,1003.2,966.6,983.1,1143125,257125
2024-12-24 00:00:00+05:30,981.2,987.3,970.0,985.0,886875,141000
2024-12-26 00:00:00+05:30,983.5,1000.4,973.2,990.1,1023750,47875
2024-12-27 00:00:00+05:30,1007.2,1024.0,998.8,1012.0,1184375,463250
2024-12-30 00:00:00+05:30,1002.6,1019.8,999.2,1015.3,1576875,406250
2024-12-31 00:00:00+05:30,1011.7,1019.8,973.9,1014.4,1528750,408375
2025-01-01 00:00:00+05:30,1001.1,1017.8,993.8,1014.1,1588750,445125
2025-01-02 00:00:00+05:30,1021.0,1042.2,1011.1,1039.6,1446250,482375
2025-01-03 00:00:00+05:30,1042.1,1061.2,1016.1,1017.8,1908125,563375
2025-01-06 00:00:00+05:30,1012.0,1022.0,964.6,968.1,2044375,608625
2025-01-07 00:00:00+05:30,978.7,993.1,966.1,974.2,1375000,643625
2025-01-08 00:00:00+05:30,969.4,981.1,937.8,944.7,1750625,651250
2025-01-09 00:00:00+05:30,945.3,951.9,928.8,930.9,1025000,691000
2025-01-10 00:00:00+05:30,929.5,939.5,902.7,905.1,1080625,712125
2025-01-13 00:00:00+05:30,897.8,902.2,851.4,858.5,1741250,739250
2025-01-14 00:00:00+05:30,868.0,879.7,843.9,848.0,1818750,776750
2025-01-15 00:00:00+05:30,860.4,876.0,849.5,861.9,1811875,735000
2025-01-16 00:00:00+05:30,880.0,904.6,874.5,887.1,1520625,725375
2025-01-17 00:00:00+05:30,891.3,891.3,859.0,881.1,1053750,750750
2025-01-20 00:00:00+05:30,883.2,892.9,876.4,886.0,455625,735750
2025-01-21 00:00:00+05:30,900.0,901.2,844.0,846.7,2385625,732875
2025-01-22 00:00:00+05:30,835.0,842.1,797.8,818.3,2004375,793500
2025-01-23 00:00:00+05:30,812.1,839.3,802.4,835.0,1730625,859000
2025-01-24 00:00:00+05:30,833.9,857.6,816.3,820.3,1423750,819875
2025-01-27 00:00:00+05:30,809.0,809.0,757.4,764.4,3155000,696750
2025-01-28 00:00:00+05:30,771.7,771.7,732.4,746.7,3036875,485500
2025-01-29 00:00:00+05:30,749.9,804.0,742.4,790.3,3563750,360750
2025-01-30 00:00:00+05:30,796.9,797.0,717.3,727.0,3631250,116875
2025-01-31 00:00:00+05:30,728.2,731.9,708.5,721.2,2885625,1056125
2025-02-01 00:00:00+05:30,724.0,740.4,693.0,706.3,2967500,1090625
2025-02-03 00:00:00+05:30,704.2,712.6,675.8,679.7,2073125,1139500
2025-02-04 00:00:00+05:30,688.0,705.4,681.8,703.1,3050625,1269500
2025-02-05 00:00:00+05:30,710.0,756.7,705.0,744.9,5121250,1192875
2025-02-06 00:00:00+05:30,748.9,748.9,728.5,732.3,1881875,1202500
2025-02-07 00:00:00+05:30,733.8,746.8,726.1,733.3,1926250,1177250
2025-02-10 00:00:00+05:30,724.0,733.0,700.8,708.2,1234375,1203375
2025-02-11 00:00:00+05:30,705.0,706.0,673.2,678.0,1654375,1230000
2025-02-12 00:00:00+05:30,680.0,712.0,663.2,705.3,3903750,1214125
2025-02-13 00:00:00+05:30,707.0,708.9,682.1,685.3,1893125,1242500
2025-02-14 00:00:00+05:30,692.9,693.4,662.3,674.8,1545000,1268750
2025-02-17 00:00:00+05:30,661.2,685.0,656.6,680.1,2194375,1286875
2025-02-18 00:00:00+05:30,680.0,680.9,653.0,657.3,1749375,1338125
2025-02-19 00:00:00+05:30,652.0,686.7,641.5,675.5,2421875,1319000
2025-02-20 00:00:00+05:30,673.0,696.8,664.0,688.5,2065000,1254875
2025-02-21 00:00:00+05:30,687.0,708.8,683.1,686.4,3933750,982750
2025-02-24 00:00:00+05:30,666.1,690.0,666.1,683.5,3678125,643000
2025-02-25 00:00:00+05:30,682.4,684.7,663.4,670.0,3121875,277000
2025-02-27 00:00:00+05:30,665.5,675.3,649.4,652.1,2125000,93125
2025-02-28 00:00:00+05:30,650.0,650.0,628.0,632.5,2061875,1275375
2025-03-03 00:00:00+05:30,641.7,643.4,609.6,630.6,2824375,1297625
2025-03-04 00:00:00+05:30,623.0,636.4,618.6,628.7,2268125,1266125
2025-03-05 00:00:00+05:30,627.2,641.6,624.2,640.4,2423750,1312500
2025-03-06 00:00:00+05:30,650.8,665.4,642.8,660.0,3412500,1133500
2025-03-07 00:00:00+05:30,658.9,676.0,655.7,672.0,3529375,1071875
2025-03-10 00:00:00+05:30,675.0,684.0,653.3,662.9,3026875,1074750
2025-03-11 00:00:00+05:30,658.0,677.3,648.2,674.6,2362500,1054750
2025-03-12 00:00:00+05:30,676.2,679.8,648.8,659.3,2721250,1143875
2025-03-13 00:00:00+05:30,658.4,684.8,652.1,674.6,4820625,1274125
2025-03-17 00:00:00+05:30,681.2,696.1,676.3,678.4,3270000,1374125
2025-03-18 00:00:00+05:30,683.0,721.4,680.3,719.7,3071250,1335375
2025-03-19 00:00:00+05:30,725.6,759.0,719.8,756.0,4423125,1354375
2025-03-20 00:00:00+05:30,760.7,763.0,732.5,741.3,3471875,1340125
2025-03-21 00:00:00+05:30,749.0,767.5,738.7,762.4,2930625,1298125
2025-03-24 00:00:00+05:30,766.8,775.3,756.5,761.7,3366250,927375
2025-03-25 00:00:00+05:30,762.5,762.5,729.6,731.4,4371875,502875
2025-03-26 00:00:00+05:30,730.3,746.9,724.3,735.0,3480000,339625
2025-03-27 00:00:00+05:30,734.7,748.2,730.8,738.5,2817500,137375
2025-03-28 00:00:00+05:30,723.4,755.8,718.4,725.1,3881875,1418000
2025-04-01 00:00:00+05:30,737.8,739.7,718.4,729.5,1441875,1411750
2025-04-02 00:00:00+05:30,727.4,752.6,719.0,750.5,2132500,1368000
2025-04-03 00:00:00+05:30,752.0,764.4,728.0,761.4,2501875,1434500
2025-04-04 00:00:00+05:30,760.0,760.0,722.8,729.5,2700000,1449000
2025-04-07 00:00:00+05:30,670.2,708.1,656.6,704.4,3209375,1471500
2025-04-08 00:00:00+05:30,712.4,735.4,707.0,713.7,2004375,1501625
2025-04-09 00:00:00+05:30,716.8,726.0,700.5,718.2,1568125,1531000
2025-04-11 00:00:00+05:30,732.2,745.0,713.6,741.6,3844375,1532250
2025-04-15 00:00:00+05:30,750.1,769.5,747.8,766.0,2195625,1501500
2025-04-16 00:00:00+05:30,767.2,780.0,764.3,774.1,2777500,1507500
2025-04-17 00:00:00+05:30,774.6,786.3,763.3,775.3,2243750,1477000
2025-04-21 00:00:00+05:30,780.0,807.0,776.5,800.2,4505000,1075625
2025-04-22 00:00:00+05:30,803.1,821.4,793.9,796.3,3620000,724000
2025-04-23 00:00:00+05:30,799.8,822.2,797.0,819.7,4012500,309875
2025-04-24 00:00:00+05:30,818.0,822.7,806.0,810.0,1913750,192875
2025-04-25 00:00:00+05:30,789.0,795.5,756.0,770.9,2275625,1537750
2025-04-28 00:00:00+05:30,769.0,793.8,767.8,787.0,1483750,1544750
2025-04-29 00:00:00+05:30,791.3,804.0,789.6,794.1,1404375,1571375
2025-04-30 00:00:00+05:30,790.0,793.4,764.0,769.5,1183750,1590500
2025-05-02 00:00:00+05:30,773.6,786.5,759.2,762.1,1950000,1600250
2025-05-05 00:00:00+05:30,760.0,768.9,750.3,761.2,3168750,1567250
2025-05-06 00:00:00+05:30,763.7,780.0,718.2,719.6,7178750,1675250
2025-05-07 00:00:00+05:30,711.6,736.0,711.6,730.8,3805000,1442875
2025-05-08 00:00:00+05:30,730.2,761.0,712.4,715.1,5594375,1499250
2025-05-09 00:00:00+05:30,694.7,705.0,684.3,698.2,4721875,1481500
2025-05-12 00:00:00+05:30,708.6,739.7,708.6,738.1,3405000,1524875
2025-05-13 00:00:00+05:30,737.2,737.4,723.1,728.0,1940000,1626125
2025-05-14 00:00:00+05:30,731.6,734.8,725.7,732.9,1579375,1703750
2025-05-15 00:00:00+05:30,732.5,749.5,730.0,747.8,2192500,1693000
2025-05-16 00:00:00+05:30,744.0,789.5,744.0,781.8,5042500,1610250
2025-05-19 00:00:00+05:30,783.0,799.3,777.6,792.5,2538125,1620375
2025-05-20 00:00:00+05:30,793.9,796.0,773.2,776.3,1429375,1622875
2025-05-21 00:00:00+05:30,777.1,787.5,770.6,778.4,1529375,1568125
2025-05-22 00:00:00+05:30,778.7,790.0,771.9,779.7,1621250,1576625
2025-05-23 00:00:00+05:30,779.0,783.8,771.2,779.7,2133750,1590500
2025-05-26 00:00:00+05:30,784.7,799.9,781.4,798.2,3352500,1392625
2025-05-27 00:00:00+05:30,802.0,803.6,790.9,796.0,2964375,1066625
2025-05-28 00:00:00+05:30,797.6,809.1,795.0,796.4,2993750,622500
2025-05-29 00:00:00+05:30,798.4,803.6,791.4,794.4,2785000,234500
2025-05-30 00:00:00+05:30,800.0,811.6,792.8,795.4,2102500,1462250
2025-06-02 00:00:00+05:30,794.0,836.7,785.0,829.7,6735625,1529250
2025-06-03 00:00:00+05:30,836.2,847.0,828.0,836.8,7074375,1854125
2025-06-04 00:00:00+05:30,836.0,842.0,820.2,836.5,2418750,1889250
2025-06-05 00:00:00+05:30,839.1,855.6,834.3,851.1,3878750,1953500
