date,open,high,low,close,volume,oi
2024-01-03 00:00:00+05:30,1603.0,1612.5,1590.5,1598.5,834600,2756100
2024-01-04 00:00:00+05:30,1600.0,1652.0,1597.5,1642.5,1767000,2713800
2024-01-05 00:00:00+05:30,1643.5,1645.5,1621.5,1630.5,1147800,2704500
2024-01-08 00:00:00+05:30,1634.5,1664.0,1624.0,1646.5,2128200,2658900
2024-01-09 00:00:00+05:30,1659.0,1700.0,1643.0,1681.0,2552400,2583600
2024-01-10 00:00:00+05:30,1686.0,1693.0,1650.5,1679.0,1837800,2614200
2024-01-11 00:00:00+05:30,1679.5,1741.5,1678.0,1723.0,7085400,3131400
2024-01-12 00:00:00+05:30,1742.5,1750.5,1670.5,1693.0,5475000,3196800
2024-01-15 00:00:00+05:30,1703.0,1728.5,1691.5,1718.5,3597000,2900700
2024-01-16 00:00:00+05:30,1721.5,1723.5,1674.5,1680.0,2325000,3021000
2024-01-17 00:00:00+05:30,1629.5,1672.0,1622.0,1638.5,2032200,2894700
2024-01-18 00:00:00+05:30,1631.0,1671.0,1597.0,1665.0,2724000,2815200
2024-01-19 00:00:00+05:30,1672.5,1713.5,1666.0,1710.0,1971000,2642700
2024-01-20 00:00:00+05:30,1709.0,1716.0,1664.5,1670.0,677400,2605800
2024-01-23 00:00:00+05:30,1681.0,1702.5,1621.5,1630.5,6160800,1290600
2024-01-24 00:00:00+05:30,1617.5,1687.0,1617.5,1683.5,2865600,701700
2024-01-25 00:00:00+05:30,1679.0,1712.0,1673.5,1680.0,2092200,263400
2024-01-29 00:00:00+05:30,1683.0,1732.5,1679.0,1721.0,2553000,2377200
2024-01-30 00:00:00+05:30,1727.5,1731.0,1705.5,1720.0,1596000,2457600
2024-01-31 00:00:00+05:30,1728.5,1763.0,1727.0,1752.0,2556600,2614500
2024-02-01 00:00:00+05:30,1753.5,1760.0,1726.5,1755.0,1099200,2615700
2024-02-02 00:00:00+05:30,1745.0,1769.5,1735.5,1745.0,1251600,2686800
2024-02-05 00:00:00+05:30,1754.5,1772.0,1734.5,1745.5,1647600,2697000
2024-02-06 00:00:00+05:30,1744.5,1780.5,1742.5,1777.5,1387800,2594400
2024-02-07 00:00:00+05:30,1781.0,1800.0,1769.5,1793.0,1198200,2529900
2024-02-08 00:00:00+05:30,1783.5,1803.5,1774.0,1785.0,1077600,2523600
2024-02-09 00:00:00+05:30,1799.0,1812.5,1755.0,1785.0,1439400,2472300
2024-02-12 00:00:00+05:30,1787.0,1799.0,1761.0,1786.5,2365200,2653200
2024-02-13 00:00:00+05:30,1789.0,1852.0,1781.0,1845.0,3011400,2682000
2024-02-14 00:00:00+05:30,1833.0,1863.5,1809.0,1856.0,1447800,2664600
2024-02-15 00:00:00+05:30,1860.5,1879.0,1832.5,1860.0,1149600,2686800
2024-02-16 00:00:00+05:30,1856.0,1907.0,1856.0,1900.5,1356600,2758200
2024-02-19 00:00:00+05:30,1900.5,1909.0,1816.0,1838.0,2808600,2906400
2024-02-20 00:00:00+05:30,1845.5,1873.5,1829.5,1854.0,1989000,2868600
2024-02-21 00:00:00+05:30,1848.5,1870.0,1829.0,1836.0,988200,2838000
2024-02-22 00:00:00+05:30,1842.5,1864.0,1824.0,1861.5,991800,2801400
2024-02-23 00:00:00+05:30,1858.0,1884.0,1856.0,1873.0,1222800,2629500
2024-02-26 00:00:00+05:30,1854.0,1921.5,1842.0,1907.0,4759800,2165400
2024-02-27 00:00:00+05:30,1899.0,1993.0,1897.5,1918.5,5653800,1327800
2024-02-28 00:00:00+05:30,1924.0,1924.0,1878.5,1882.5,2068200,727200
2024-02-29 00:00:00+05:30,1897.0,1897.0,1821.0,1839.0,2101200,211200
2024-03-01 00:00:00+05:30,1840.0,1858.0,1828.0,1851.5,1896600,3015900
2024-03-02 00:00:00+05:30,1853.0,1855.0,1844.0,1846.5,147000,3033000
2024-03-04 00:00:00+05:30,1848.0,1889.0,1845.5,1882.0,2225400,2915700
2024-03-05 00:00:00+05:30,1878.0,1886.5,1846.5,1852.0,1521600,2922000
2024-03-06 00:00:00+05:30,1855.5,1862.5,1821.5,1844.0,1665600,2958000
2024-03-07 00:00:00+05:30,1854.5,1856.0,1828.5,1834.5,938400,2913300
2024-03-11 00:00:00+05:30,1836.0,1871.0,1830.5,1844.0,2641800,2899800
2024-03-12 00:00:00+05:30,1826.0,1848.5,1794.5,1811.0,2299800,2808300
2024-03-13 00:00:00+05:30,1803.5,1834.0,1756.0,1773.0,2773200,2822100
2024-03-14 00:00:00+05:30,1760.0,1835.0,1750.0,1827.5,1791000,2859600
2024-03-15 00:00:00+05:30,1821.0,1853.0,1793.5,1847.0,2526000,3074400
2024-03-18 00:00:00+05:30,1856.0,1861.5,1814.0,1823.0,2278200,3093600
2024-03-19 00:00:00+05:30,1818.5,1820.5,1777.5,1795.0,1916400,3095700
2024-03-20 00:00:00+05:30,1795.5,1810.0,1760.5,1773.5,1590600,3038400
2024-03-21 00:00:00+05:30,1781.0,1805.5,1774.5,1801.5,1183800,2985300
2024-03-22 00:00:00+05:30,1809.5,1862.5,1802.5,1827.0,4707000,2210400
2024-03-26 00:00:00+05:30,1825.5,1872.5,1825.5,1854.5,3599400,1378200
2024-03-27 00:00:00+05:30,1864.5,1868.0,1842.5,1852.0,1836000,757200
2024-03-28 00:00:00+05:30,1861.0,1862.5,1832.0,1839.5,1212000,500400
2024-04-01 00:00:00+05:30,1846.0,1863.5,1843.0,1856.5,1649400,2802300
2024-04-02 00:00:00+05:30,1851.5,1864.5,1799.0,1850.5,2478600,2801400
2024-04-03 00:00:00+05:30,1848.5,1861.5,1835.0,1844.0,1047600,2751900
2024-04-04 00:00:00+05:30,1840.5,1847.0,1818.0,1821.5,1183200,2751900
2024-04-05 00:00:00+05:30,1826.5,1826.5,1802.0,1809.5,982800,2810400
2024-04-08 00:00:00+05:30,1810.5,1816.0,1782.0,1804.0,2238000,2798700
2024-04-09 00:00:00+05:30,1815.5,1834.5,1799.5,1825.0,1623600,2837700
2024-04-10 00:00:00+05:30,1832.0,1847.0,1822.5,1826.0,1638000,2803800
2024-04-12 00:00:00+05:30,1817.5,1838.5,1802.5,1810.0,1464600,2757300
2024-04-15 00:00:00+05:30,1797.5,1823.0,1766.5,1795.0,2645400,2714700
2024-04-16 00:00:00+05:30,1804.0,1859.5,1800.5,1836.5,5386200,2985600
2024-04-18 00:00:00+05:30,1839.0,1883.5,1839.0,1857.5,2692200,3042600
2024-04-19 00:00:00+05:30,1856.0,1856.0,1789.5,1822.5,2612400,2925600
2024-04-22 00:00:00+05:30,1840.0,1840.0,1779.5,1793.0,4612800,2226300
2024-04-23 00:00:00+05:30,1799.0,1815.0,1788.5,1794.0,2941200,1373400
2024-04-24 00:00:00+05:30,1793.0,1803.0,1772.0,1800.0,2278200,772200
2024-04-25 00:00:00+05:30,1798.5,1818.0,1784.5,1811.0,1601400,228000
2024-04-26 00:00:00+05:30,1830.0,1871.0,1826.0,1835.0,1773900,2530800
2024-04-29 00:00:00+05:30,1840.0,1871.0,1830.0,1866.0,1628400,2560200
2024-04-30 00:00:00+05:30,1867.5,1950.0,1867.5,1926.5,4002300,2818800
2024-05-02 00:00:00+05:30,1927.0,1950.5,1922.0,1945.0,1109400,2820450
2024-05-03 00:00:00+05:30,1938.5,1969.0,1924.5,1938.0,1126200,2784000
2024-05-06 00:00:00+05:30,1934.0,1947.5,1915.0,1918.5,1400100,2834400
2024-05-07 00:00:00+05:30,1922.5,1938.5,1850.5,1856.5,2573700,2819700
2024-05-08 00:00:00+05:30,1854.0,1862.5,1825.5,1830.5,1217100,2827350
2024-05-09 00:00:00+05:30,1832.0,1842.5,1777.0,1782.0,1294800,2868300
2024-05-10 00:00:00+05:30,1781.0,1810.0,1779.0,1788.5,1145700,2877900
2024-05-13 00:00:00+05:30,1786.5,1816.0,1740.0,1805.0,2397600,2849250
2024-05-14 00:00:00+05:30,1820.5,1834.0,1794.0,1812.0,1648200,2661150
2024-05-15 00:00:00+05:30,1799.0,1853.0,1799.0,1848.5,1168500,2583150
2024-05-16 00:00:00+05:30,1850.5,1902.5,1848.5,1899.0,1714500,2524050
2024-05-17 00:00:00+05:30,1899.0,1899.0,1854.5,1858.5,1348500,2454600
2024-05-18 00:00:00+05:30,1897.0,1897.0,1821.5,1860.5,100800,2451000
2024-05-21 00:00:00+05:30,1841.5,1873.0,1838.5,1866.5,1006800,2386650
2024-05-22 00:00:00+05:30,1869.5,1880.5,1851.0,1871.0,841500,2376150
2024-05-23 00:00:00+05:30,1876.0,1888.0,1851.0,1884.5,1049400,2304750
2024-05-24 00:00:00+05:30,1894.0,1894.0,1872.0,1879.5,952500,2219100
2024-05-27 00:00:00+05:30,1889.0,1982.5,1865.0,1936.0,4989900,1952700
2024-05-28 00:00:00+05:30,1924.0,1990.5,1924.0,1976.0,3491400,1417950
2024-05-29 00:00:00+05:30,1951.5,1970.0,1910.0,1916.0,2059800,798450
2024-05-30 00:00:00+05:30,1901.5,1903.0,1834.0,1841.5,1652400,316800
2024-05-31 00:00:00+05:30,1859.0,1911.5,1859.0,1903.5,1788300,2583750
2024-06-03 00:00:00+05:30,1958.5,2032.0,1921.5,1990.5,3527700,2805450
2024-06-04 00:00:00+05:30,1979.0,1979.0,1644.0,1663.5,5522400,2714850
2024-06-05 00:00:00+05:30,1718.0,1806.5,1656.0,1788.0,3335400,2664000
