date,open,high,low,close,volume,oi
2024-01-03 00:00:00+05:30,647.9,652.4,639.0,640.05,3837900,20865900
2024-01-04 00:00:00+05:30,640.6,652.95,640.45,652.0,4706900,20785600
2024-01-05 00:00:00+05:30,652.0,658.3,645.4,649.5,3271400,20543600
2024-01-08 00:00:00+05:30,649.15,655.8,643.0,646.9,3807100,20441300
2024-01-09 00:00:00+05:30,647.35,651.8,640.25,641.75,5563800,20675600
2024-01-10 00:00:00+05:30,642.5,651.0,642.4,647.5,3906100,20542500
2024-01-11 00:00:00+05:30,647.45,653.8,640.0,644.2,5303100,21406000
2024-01-12 00:00:00+05:30,645.6,650.7,623.55,640.2,16749700,23730300
2024-01-15 00:00:00+05:30,637.1,638.65,613.0,616.15,16571500,28481200
2024-01-16 00:00:00+05:30,616.25,618.45,610.4,612.9,8130100,28473500
2024-01-17 00:00:00+05:30,609.0,619.0,606.25,607.85,8299500,27615500
2024-01-18 00:00:00+05:30,606.65,612.0,600.6,608.25,5413100,26628800
2024-01-19 00:00:00+05:30,610.3,617.65,609.6,615.45,6032400,24351800
2024-01-20 00:00:00+05:30,615.85,618.9,606.85,607.7,3408900,24005300
2024-01-23 00:00:00+05:30,600.5,612.75,581.6,584.1,19550300,12728100
2024-01-24 00:00:00+05:30,585.0,592.0,579.0,583.95,14969900,5379000
2024-01-25 00:00:00+05:30,584.15,586.8,577.3,579.15,7775900,1628000
2024-01-29 00:00:00+05:30,582.8,588.4,581.0,583.15,5390000,26164600
2024-01-30 00:00:00+05:30,586.0,587.0,575.75,579.4,5778300,26167900
2024-01-31 00:00:00+05:30,578.1,582.2,575.35,580.75,4214100,27143600
2024-02-01 00:00:00+05:30,581.6,595.5,570.9,591.1,11111100,27151300
2024-02-02 00:00:00+05:30,590.8,591.85,580.65,582.4,4997300,28273300
2024-02-05 00:00:00+05:30,582.4,585.05,564.2,565.95,5904800,28833200
2024-02-06 00:00:00+05:30,567.5,598.55,566.05,596.4,15633200,27260200
2024-02-07 00:00:00+05:30,599.8,616.8,598.85,607.2,12017500,24759900
2024-02-08 00:00:00+05:30,608.85,618.45,593.8,595.25,9711900,26554000
2024-02-09 00:00:00+05:30,595.4,596.95,583.9,586.55,5052300,26859800
2024-02-12 00:00:00+05:30,588.9,588.9,575.15,580.05,4604600,26874100
2024-02-13 00:00:00+05:30,579.0,595.6,576.15,591.95,6238100,26500100
2024-02-14 00:00:00+05:30,585.85,589.5,581.05,588.1,3146000,26738800
2024-02-15 00:00:00+05:30,588.55,590.95,583.2,587.1,2906200,26947800
2024-02-16 00:00:00+05:30,587.7,596.3,585.45,594.75,4998400,27801400
2024-02-19 00:00:00+05:30,595.95,596.0,586.4,587.25,3844500,28744100
2024-02-20 00:00:00+05:30,584.3,590.55,578.0,589.55,5052300,28690200
2024-02-21 00:00:00+05:30,589.0,592.4,575.85,578.1,4188800,28486700
2024-02-22 00:00:00+05:30,578.8,578.8,568.2,575.85,5958700,28420700
2024-02-23 00:00:00+05:30,578.75,583.95,576.3,580.5,4085400,27936700
2024-02-26 00:00:00+05:30,573.25,581.95,569.3,577.4,7529500,24494800
2024-02-27 00:00:00+05:30,579.05,592.0,573.95,580.65,15694800,16903700
2024-02-28 00:00:00+05:30,582.5,590.0,578.9,580.85,10024300,9401700
2024-02-29 00:00:00+05:30,580.3,585.85,575.05,581.95,12185800,839300
2024-03-01 00:00:00+05:30,589.0,600.35,586.0,593.9,7956300,31937400
2024-03-02 00:00:00+05:30,594.95,598.15,593.35,595.05,410300,31933000
2024-03-04 00:00:00+05:30,596.85,622.8,590.15,613.3,17970700,29899100
2024-03-05 00:00:00+05:30,614.5,617.65,605.85,609.8,8504100,29722000
2024-03-06 00:00:00+05:30,610.25,621.95,606.65,617.85,7949700,29029000
2024-03-07 00:00:00+05:30,615.0,626.05,615.0,623.45,7373300,28305200
2024-03-11 00:00:00+05:30,625.85,632.4,622.0,623.4,7612000,28097300
2024-03-12 00:00:00+05:30,620.05,631.7,618.0,624.2,9403900,27456000
2024-03-13 00:00:00+05:30,624.55,628.0,604.95,610.9,6590100,26848800
2024-03-14 00:00:00+05:30,606.65,625.95,600.0,624.15,5647400,26105200
2024-03-15 00:00:00+05:30,625.15,635.85,613.65,634.55,8929800,24608100
2024-03-18 00:00:00+05:30,635.15,638.25,629.55,635.0,4738800,24619100
2024-03-19 00:00:00+05:30,634.8,638.65,625.75,634.2,5676000,24203300
2024-03-20 00:00:00+05:30,632.65,637.95,621.3,628.6,3873100,24282500
2024-03-21 00:00:00+05:30,631.45,641.3,622.25,624.7,10690900,23938200
2024-03-22 00:00:00+05:30,625.35,629.9,617.35,625.55,7243500,21591900
2024-03-26 00:00:00+05:30,641.0,643.95,627.35,628.65,16167800,14463900
2024-03-27 00:00:00+05:30,632.15,639.35,625.55,627.75,11650100,7719800
2024-03-28 00:00:00+05:30,628.65,638.6,627.0,633.3,8433700,2104300
2024-04-01 00:00:00+05:30,639.7,641.4,634.2,638.95,4460500,26158000
2024-04-02 00:00:00+05:30,637.95,644.6,635.0,636.65,5756300,26497900
2024-04-03 00:00:00+05:30,633.05,633.6,623.65,627.0,5144700,26409900
2024-04-04 00:00:00+05:30,627.0,629.2,621.05,625.6,4161300,26305400
2024-04-05 00:00:00+05:30,622.9,633.0,619.45,632.1,5303100,26842200
2024-04-08 00:00:00+05:30,632.9,636.95,629.1,636.1,4665100,26346100
2024-04-09 00:00:00+05:30,639.8,640.95,634.15,634.95,4530900,26129400
2024-04-10 00:00:00+05:30,635.35,638.4,622.9,623.95,7714300,27286600
2024-04-12 00:00:00+05:30,621.05,626.3,618.05,619.2,5126000,28199600
2024-04-15 00:00:00+05:30,611.0,617.65,606.15,613.2,4821300,27594600
2024-04-16 00:00:00+05:30,609.0,611.6,601.25,605.7,5970800,27636400
2024-04-18 00:00:00+05:30,615.65,623.4,604.6,606.4,19089400,28276600
2024-04-19 00:00:00+05:30,595.0,603.6,580.45,600.85,13395800,24896300
2024-04-22 00:00:00+05:30,601.6,609.0,597.65,605.65,8625100,20143200
2024-04-23 00:00:00+05:30,608.75,608.75,597.25,600.5,10132100,12564200
2024-04-24 00:00:00+05:30,598.95,601.5,592.55,593.5,8098200,7019100
2024-04-25 00:00:00+05:30,592.2,597.0,584.9,594.15,11017600,1123100
2024-04-26 00:00:00+05:30,600.75,606.75,590.55,591.8,6850800,28289800
2024-04-29 00:00:00+05:30,592.0,597.95,576.2,580.3,10319100,30756000
2024-04-30 00:00:00+05:30,579.7,592.6,578.85,587.55,12398100,30430400
2024-05-02 00:00:00+05:30,588.25,590.95,577.85,581.6,8197200,31913200
2024-05-03 00:00:00+05:30,583.5,583.65,570.1,570.7,7745100,34908500
2024-05-06 00:00:00+05:30,573.9,573.9,554.45,559.1,9011200,36713600
2024-05-07 00:00:00+05:30,560.6,565.45,553.1,556.0,8101500,38152400
2024-05-08 00:00:00+05:30,554.75,557.55,551.75,554.35,5206300,39145700
2024-05-09 00:00:00+05:30,554.75,555.7,540.35,542.25,11028600,40774800
2024-05-10 00:00:00+05:30,542.0,556.05,542.0,551.8,6937700,40800100
2024-05-13 00:00:00+05:30,555.15,572.2,549.95,564.6,13721400,41239000
2024-05-14 00:00:00+05:30,569.4,570.55,562.5,564.0,6290900,40856200
2024-05-15 00:00:00+05:30,564.3,564.3,556.25,558.05,3648700,40615300
2024-05-16 00:00:00+05:30,558.9,569.8,553.1,568.7,8769200,41127900
2024-05-17 00:00:00+05:30,569.7,572.5,563.8,570.7,6091800,40189600
2024-05-18 00:00:00+05:30,570.05,571.75,568.05,570.55,315700,40107100
2024-05-21 00:00:00+05:30,569.8,570.45,564.0,568.15,5820100,40845200
2024-05-22 00:00:00+05:30,568.05,568.65,561.4,562.25,3975400,40940900
2024-05-23 00:00:00+05:30,566.95,569.95,559.6,567.4,8071800,40669200
2024-05-24 00:00:00+05:30,567.85,573.05,564.55,566.3,5363600,40024600
2024-05-27 00:00:00+05:30,567.9,570.75,563.8,565.65,13785200,29458000
2024-05-28 00:00:00+05:30,565.55,581.3,563.95,579.6,15984100,20000200
2024-05-29 00:00:00+05:30,572.95,577.6,562.1,563.05,10685400,12619200
2024-05-30 00:00:00+05:30,557.65,564.5,548.05,550.4,11863500,6371200
2024-05-31 00:00:00+05:30,555.45,558.25,548.45,551.5,8529400,45855700
2024-06-03 00:00:00+05:30,567.25,569.25,549.1,552.55,11118800,46964500
2024-06-04 00:00:00+05:30,552.0,555.8,510.25,532.9,16545100,45158300
2024-06-05 00:00:00+05:30,537.45,553.15,535.2,550.9,8030000,43605100
2024-06-06 00:00:00+05:30,550.9,559.0,550.9,555.05,6715500,44014300
2024-06-07 00:00:00+05:30,556.25,562.6,553.0,561.85,6859600,42520500
2024-06-10 00:00:00+05:30,561.85,573.15,560.05,567.65,6853000,41925400
2024-06-11 00:00:00+05:30,566.25,575.5,564.7,570.45,7042200,41409500
2024-06-12 00:00:00+05:30,569.15,576.4,566.3,572.65,4328500,41570100
2024-06-13 00:00:00+05:30,565.0,596.45,565.0,591.5,26688200,38133700
2024-06-14 00:00:00+05:30,597.0,599.85,592.05,596.5,10825100,35886400
2024-06-18 00:00:00+05:30,595.7,604.3,592.35,599.7,7496500,35253900
2024-06-19 00:00:00+05:30,600.85,603.7,590.6,593.8,8959500,35262700
2024-06-20 00:00:00+05:30,596.85,597.25,581.3,589.7,8215900,35009700
2024-06-21 00:00:00+05:30,590.2,592.25,580.6,581.7,5583600,33916300
2024-06-24 00:00:00+05:30,579.45,582.95,574.8,580.45,11478500,26288900
2024-06-25 00:00:00+05:30,577.65,591.2,576.4,589.85,16335000,16150200
2024-06-26 00:00:00+05:30,590.9,598.0,587.75,588.2,9366500,9554600
2024-06-27 00:00:00+05:30,586.15,594.6,585.4,592.15,10886700,4936800
2024-06-28 00:00:00+05:30,597.15,603.85,592.6,597.75,8069600,34733600
2024-07-01 00:00:00+05:30,595.9,605.7,593.0,603.2,6836500,34846900
2024-07-02 00:00:00+05:30,603.35,604.25,588.9,592.3,11200200,35294600
2024-07-03 00:00:00+05:30,594.05,602.0,592.6,598.2,5509900,35404600
2024-07-04 00:00:00+05:30,600.15,609.0,597.85,605.7,11654500,35194500
2024-07-05 00:00:00+05:30,607.65,610.85,602.15,608.85,6565900,34184700
2024-07-08 00:00:00+05:30,610.9,623.15,610.05,622.3,12313400,32398300
2024-07-09 00:00:00+05:30,624.5,630.85,622.7,625.25,9142100,31714100
2024-07-10 00:00:00+05:30,624.9,642.0,617.25,633.95,14588200,30937500
2024-07-11 00:00:00+05:30,636.0,638.7,631.5,635.15,5837700,29873800
2024-07-12 00:00:00+05:30,633.95,637.0,628.75,636.05,5249200,29067500
2024-07-15 00:00:00+05:30,634.4,648.5,631.9,638.45,16240400,27196400
2024-07-16 00:00:00+05:30,644.35,656.5,634.3,647.75,17817800,26416500
2024-07-18 00:00:00+05:30,647.55,652.75,642.9,650.7,7602100,26819100
2024-07-19 00:00:00+05:30,646.5,648.0,635.9,637.0,5129300,26569400
2024-07-22 00:00:00+05:30,634.45,640.85,629.5,637.25,10235500,20251000
2024-07-23 00:00:00+05:30,640.45,648.3,621.8,643.0,18774800,12090100
2024-07-24 00:00:00+05:30,637.65,672.6,637.65,670.95,15986300,7973900
2024-07-25 00:00:00+05:30,665.05,683.75,663.5,681.3,6330500,6253500
2024-07-26 00:00:00+05:30,680.0,713.4,680.0,706.35,9863700,26176700
2024-07-29 00:00:00+05:30,709.0,713.55,696.95,700.05,5530800,25283500
2024-07-30 00:00:00+05:30,700.15,711.1,688.35,701.0,8926500,24695000
2024-07-31 00:00:00+05:30,701.55,722.15,697.3,719.6,9226800,25165800
2024-08-01 00:00:00+05:30,724.0,726.0,715.25,717.35,6593400,25282400
2024-08-02 00:00:00+05:30,710.0,716.6,703.3,710.0,6232600,25038200
2024-08-05 00:00:00+05:30,706.5,715.7,693.85,712.95,12584000,25850000
2024-08-06 00:00:00+05:30,712.7,720.75,681.0,683.3,13104300,25941300
2024-08-07 00:00:00+05:30,692.0,701.35,686.2,700.05,5758500,25406700
2024-08-08 00:00:00+05:30,702.0,714.75,693.0,711.35,10961500,24706000
2024-08-09 00:00:00+05:30,712.5,715.0,704.7,705.75,4980800,25311000
2024-08-12 00:00:00+05:30,706.45,716.6,695.25,703.55,8303900,25957800
2024-08-13 00:00:00+05:30,704.4,709.1,679.05,685.75,10759100,25500200
2024-08-14 00:00:00+05:30,684.65,692.05,679.0,688.75,4200900,25401200
2024-08-16 00:00:00+05:30,675.0,690.85,670.05,689.8,7678000,24668600
2024-08-19 00:00:00+05:30,689.8,690.7,679.65,685.9,4180000,23830400
2024-08-20 00:00:00+05:30,687.2,713.45,684.55,711.55,14098700,23201200
2024-08-21 00:00:00+05:30,713.85,727.5,708.75,724.7,8808800,23481700
2024-08-22 00:00:00+05:30,724.6,729.75,720.5,725.7,4636500,22387200
2024-08-23 00:00:00+05:30,723.85,729.7,723.5,728.05,6189700,21198100
2024-08-26 00:00:00+05:30,728.95,732.05,718.85,726.0,9563400,15533100
2024-08-27 00:00:00+05:30,721.8,741.65,720.0,738.0,12910700,12439900
2024-08-28 00:00:00+05:30,737.75,744.35,733.5,740.0,7887000,8686700
2024-08-29 00:00:00+05:30,738.05,748.35,732.05,737.35,9036500,6913500
2024-08-30 00:00:00+05:30,742.1,746.7,737.9,743.15,5315200,23959100
2024-09-02 00:00:00+05:30,744.35,756.35,743.25,747.75,5322900,23751200
2024-09-03 00:00:00+05:30,751.5,763.45,744.8,760.85,11110000,24042700
2024-09-04 00:00:00+05:30,753.6,761.65,751.25,761.0,5337200,23439900
2024-09-05 00:00:00+05:30,761.05,761.05,752.6,754.05,4479200,22643500
2024-09-06 00:00:00+05:30,752.1,757.4,739.05,741.45,6409700,22155100
2024-09-09 00:00:00+05:30,741.55,750.95,733.95,737.15,7033400,22146300
2024-09-10 00:00:00+05:30,731.5,735.45,703.5,705.05,14790600,21650200
2024-09-11 00:00:00+05:30,702.2,706.8,698.35,702.45,6264500,22643500
2024-09-12 00:00:00+05:30,705.35,716.4,700.25,715.0,8197200,21639200
2024-09-13 00:00:00+05:30,710.65,715.2,705.0,706.05,3848900,22102300
2024-09-16 00:00:00+05:30,707.55,708.6,700.2,703.4,3500200,22336600
2024-09-17 00:00:00+05:30,701.1,704.9,693.4,699.5,4973100,22315700
2024-09-18 00:00:00+05:30,701.5,706.75,694.9,699.2,3286800,21947200
2024-09-19 00:00:00+05:30,702.05,708.55,699.65,703.45,4870800,21407100
2024-09-20 00:00:00+05:30,706.0,720.35,703.3,711.65,13385900,18658200
2024-09-23 00:00:00+05:30,715.0,729.5,714.0,726.9,9449000,13581700
2024-09-24 00:00:00+05:30,727.05,729.0,715.5,720.4,9319200,8244500
2024-09-25 00:00:00+05:30,719.55,722.55,709.6,716.45,7660400,2695000
2024-09-26 00:00:00+05:30,706.45,731.0,706.45,729.2,4534200,886600
2024-09-27 00:00:00+05:30,735.25,744.65,731.0,737.05,6131400,20889000
