date,open,high,low,close,volume,oi
2024-01-03 00:00:00+05:30,611.1,615.7,595.05,596.1,14086800,34508600
2024-01-04 00:00:00+05:30,596.0,599.65,591.2,594.4,8615600,36034600
2024-01-05 00:00:00+05:30,593.1,600.0,584.4,590.0,7110600,36409800
2024-01-08 00:00:00+05:30,590.6,594.5,579.5,580.45,6888000,37217600
2024-01-09 00:00:00+05:30,586.05,587.35,576.45,578.65,6895000,38389400
2024-01-10 00:00:00+05:30,578.55,584.4,573.45,582.75,6095600,38533600
2024-01-11 00:00:00+05:30,584.85,588.65,577.55,578.65,5644800,38255000
2024-01-12 00:00:00+05:30,579.95,587.7,577.4,583.8,5982200,38046400
2024-01-15 00:00:00+05:30,586.0,586.3,574.05,576.75,5425000,38680600
2024-01-16 00:00:00+05:30,576.65,586.6,570.1,580.9,11687200,39011000
2024-01-17 00:00:00+05:30,572.85,574.0,559.4,560.85,12259800,39180400
2024-01-18 00:00:00+05:30,561.7,563.7,547.95,556.2,7728000,38694600
2024-01-19 00:00:00+05:30,557.5,562.4,555.4,558.45,5322800,37450000
2024-01-20 00:00:00+05:30,560.95,566.75,558.0,560.5,4036200,36754200
2024-01-23 00:00:00+05:30,560.5,562.35,538.0,541.1,16994600,26782000
2024-01-24 00:00:00+05:30,547.45,568.0,546.1,566.55,16898000,18782400
2024-01-25 00:00:00+05:30,567.45,571.0,558.6,568.25,9413600,14372400
2024-01-29 00:00:00+05:30,572.0,575.5,566.45,572.35,10841600,29148000
2024-01-30 00:00:00+05:30,573.95,588.55,571.7,573.8,18999400,31759000
2024-01-31 00:00:00+05:30,573.8,583.2,573.5,582.1,7341600,31221400
2024-02-01 00:00:00+05:30,581.55,584.0,574.1,575.1,5541200,31087000
2024-02-02 00:00:00+05:30,579.05,592.6,576.5,586.85,14323400,31789800
2024-02-05 00:00:00+05:30,586.6,594.5,578.0,581.9,13911800,31542000
2024-02-06 00:00:00+05:30,578.85,589.95,571.0,586.9,15297800,30562000
2024-02-07 00:00:00+05:30,590.2,605.45,586.1,593.1,27804000,30427600
2024-02-08 00:00:00+05:30,592.55,610.6,589.45,602.9,27784400,29940400
2024-02-09 00:00:00+05:30,601.5,602.9,578.4,592.65,15929200,28252000
2024-02-12 00:00:00+05:30,593.0,603.6,582.5,584.7,11796400,27890800
2024-02-13 00:00:00+05:30,543.1,545.5,498.3,512.05,67636800,37692200
2024-02-14 00:00:00+05:30,514.6,516.8,505.05,510.25,20623400,41517000
2024-02-15 00:00:00+05:30,514.65,520.35,509.5,515.4,16587200,41112400
2024-02-16 00:00:00+05:30,518.8,520.9,512.85,517.35,11991000,40345200
2024-02-19 00:00:00+05:30,519.3,519.3,512.35,513.2,7001400,40467000
2024-02-20 00:00:00+05:30,512.1,516.35,506.65,512.55,7807800,39232200
2024-02-21 00:00:00+05:30,535.0,535.0,510.75,512.6,28240800,38241000
2024-02-22 00:00:00+05:30,515.75,522.25,514.2,521.5,14938000,37476600
2024-02-23 00:00:00+05:30,524.1,524.4,516.45,517.8,12647600,35590800
2024-02-26 00:00:00+05:30,517.65,519.15,503.8,505.05,19646200,26651800
2024-02-27 00:00:00+05:30,504.75,510.25,504.75,509.2,12614000,19497800
2024-02-28 00:00:00+05:30,511.05,513.5,501.0,503.45,13871200,11387600
2024-02-29 00:00:00+05:30,505.1,507.6,498.8,503.05,18544400,2548000
2024-03-01 00:00:00+05:30,512.1,524.55,511.95,521.25,18092200,44585800
2024-03-02 00:00:00+05:30,523.7,528.1,521.55,526.65,3574200,44688000
2024-03-04 00:00:00+05:30,526.6,533.2,522.35,528.55,13302800,43405600
2024-03-05 00:00:00+05:30,527.9,531.0,522.65,525.5,7666400,43405600
2024-03-06 00:00:00+05:30,525.0,530.4,515.95,529.3,10904600,43129800
2024-03-07 00:00:00+05:30,531.35,542.1,531.35,537.85,15778000,38514000
2024-03-11 00:00:00+05:30,539.1,544.6,535.05,536.0,8853600,38691800
2024-03-12 00:00:00+05:30,537.25,538.55,527.35,531.6,6658400,39048800
2024-03-13 00:00:00+05:30,531.35,532.2,503.3,509.55,14772800,39687200
2024-03-14 00:00:00+05:30,514.55,527.9,509.2,526.8,13308400,37025800
2024-03-15 00:00:00+05:30,524.75,534.8,518.9,533.45,12042800,36139600
2024-03-18 00:00:00+05:30,534.05,537.3,529.15,533.45,6690600,35718200
2024-03-19 00:00:00+05:30,534.4,541.5,531.4,534.1,8743000,35478800
2024-03-20 00:00:00+05:30,534.6,535.65,518.0,528.15,9651600,34032600
2024-03-21 00:00:00+05:30,534.5,545.8,534.0,541.65,15177400,30209200
2024-03-22 00:00:00+05:30,541.15,551.4,537.8,548.45,13808200,25302200
2024-03-26 00:00:00+05:30,546.1,561.4,545.25,560.3,15625400,17551800
2024-03-27 00:00:00+05:30,562.95,564.35,555.9,556.8,9734200,11554200
2024-03-28 00:00:00+05:30,561.15,566.4,555.35,560.25,15677200,2975000
