date,open,high,low,close,volume,oi
2024-01-03 00:00:00+05:30,118.35,121.39,117.78,120.06,56579250,129996750
2024-01-04 00:00:00+05:30,119.59,119.59,115.98,118.68,42022500,132522000
2024-01-05 00:00:00+05:30,119.68,121.49,118.64,119.73,49676250,131888250
2024-01-08 00:00:00+05:30,120.92,123.2,119.49,119.93,55526250,131732250
2024-01-09 00:00:00+05:30,121.39,121.49,118.83,119.3,30732000,129957750
2024-01-10 00:00:00+05:30,119.06,119.06,115.69,117.98,32994000,126847500
2024-01-11 00:00:00+05:30,118.26,121.11,118.26,120.54,41242500,126516000
2024-01-12 00:00:00+05:30,120.68,122.91,119.78,122.39,47872500,123054750
2024-01-15 00:00:00+05:30,123.39,124.67,121.96,124.39,39741000,119213250
2024-01-16 00:00:00+05:30,124.9,130.84,124.29,130.18,94974750,122538000
2024-01-17 00:00:00+05:30,130.32,131.46,128.28,130.28,67343250,114240750
2024-01-18 00:00:00+05:30,129.99,131.94,126.52,131.08,45873750,114045750
2024-01-19 00:00:00+05:30,132.17,135.6,130.28,134.88,46741500,114338250
2024-01-20 00:00:00+05:30,134.98,136.26,133.79,134.07,41652000,100668750
2024-01-23 00:00:00+05:30,135.93,136.88,124.48,125.62,62985000,74353500
2024-01-24 00:00:00+05:30,125.72,131.22,124.2,129.51,87691500,35490000
2024-01-25 00:00:00+05:30,131.04,131.08,128.13,129.84,43602000,14157000
2024-01-29 00:00:00+05:30,131.04,135.17,129.61,133.79,71418750,111579000
2024-01-30 00:00:00+05:30,134.55,139.06,133.27,134.88,91094250,114630750
2024-01-31 00:00:00+05:30,135.4,136.73,133.17,133.98,33335250,117906750
2024-02-01 00:00:00+05:30,134.27,137.35,133.6,136.4,48837750,113889750
2024-02-02 00:00:00+05:30,137.54,151.79,137.4,148.94,184362750,110340750
2024-02-05 00:00:00+05:30,152.93,162.43,150.41,159.24,192669750,124731750
2024-02-06 00:00:00+05:30,162.15,170.88,156.83,169.6,171678000,130143000
2024-02-07 00:00:00+05:30,172.4,176.67,169.55,171.4,147595500,138313500
2024-02-08 00:00:00+05:30,171.45,181.33,171.45,177.2,157189500,136305000
2024-02-09 00:00:00+05:30,177.57,177.87,162.71,167.61,149116500,143900250
2024-02-12 00:00:00+05:30,167.27,168.84,158.63,160.67,92186250,144124500
2024-02-13 00:00:00+05:30,160.0,162.57,157.87,159.87,63843000,143139750
2024-02-14 00:00:00+05:30,156.73,168.99,156.16,168.46,104159250,153075000
2024-02-15 00:00:00+05:30,169.37,175.39,168.12,173.96,127705500,149097000
2024-02-16 00:00:00+05:30,174.96,177.91,170.93,171.6,98523750,149779500
2024-02-19 00:00:00+05:30,172.07,175.34,170.98,173.02,59689500,146064750
2024-02-20 00:00:00+05:30,171.83,174.06,168.51,173.35,63316500,146094000
2024-02-21 00:00:00+05:30,174.78,174.87,165.71,166.79,67284750,140985000
2024-02-22 00:00:00+05:30,165.28,166.04,160.24,164.61,63726000,135729750
2024-02-23 00:00:00+05:30,164.66,165.42,159.87,160.48,47082750,129109500
2024-02-26 00:00:00+05:30,160.29,163.52,157.73,162.43,59816250,115995750
2024-02-27 00:00:00+05:30,162.19,163.0,156.92,158.2,58753500,86053500
2024-02-28 00:00:00+05:30,157.54,158.34,151.79,152.5,77980500,44294250
2024-02-29 00:00:00+05:30,152.93,153.35,149.74,150.65,73115250,12187500
2024-03-01 00:00:00+05:30,154.31,157.29,153.88,155.3,67382250,183563250
2024-03-02 00:00:00+05:30,155.3,158.11,154.97,157.87,14810250,183826500
2024-03-04 00:00:00+05:30,157.82,161.43,156.11,160.29,73076250,180355500
2024-03-05 00:00:00+05:30,159.01,162.24,159.01,161.05,52279500,178191000
2024-03-06 00:00:00+05:30,160.9,162.76,156.73,161.72,85185750,168665250
2024-03-07 00:00:00+05:30,162.9,162.9,158.49,159.29,35928750,167690250
2024-03-11 00:00:00+05:30,158.82,162.33,156.73,159.44,47365500,161479500
2024-03-12 00:00:00+05:30,159.39,160.72,156.54,158.29,42685500,158447250
2024-03-13 00:00:00+05:30,158.16,159.06,147.71,149.32,77015250,155288250
2024-03-14 00:00:00+05:30,147.33,156.63,146.28,155.88,77073750,154917750
2024-03-15 00:00:00+05:30,151.93,153.98,139.91,147.09,167836500,156273000
2024-03-18 00:00:00+05:30,147.94,148.75,145.9,146.43,39585000,152158500
2024-03-19 00:00:00+05:30,144.24,144.62,140.34,141.44,61181250,146659500
2024-03-20 00:00:00+05:30,141.39,144.33,140.77,143.85,40365000,143910000
2024-03-21 00:00:00+05:30,144.15,150.32,144.15,149.99,49491000,137172750
2024-03-22 00:00:00+05:30,151.07,152.32,148.84,150.74,47121750,125307000
2024-03-26 00:00:00+05:30,149.7,153.69,148.99,152.83,73690500,82758000
2024-03-27 00:00:00+05:30,153.6,156.16,150.94,151.74,67401750,44148000
2024-03-28 00:00:00+05:30,152.17,154.4,151.5,152.69,49276500,15765750
2024-04-01 00:00:00+05:30,154.73,156.59,154.73,155.21,29610750,152714250
2024-04-02 00:00:00+05:30,155.54,160.44,155.06,160.1,74948250,156029250
2024-04-03 00:00:00+05:30,158.63,160.67,158.63,159.39,40160250,157374750
2024-04-04 00:00:00+05:30,160.05,160.44,154.55,155.3,48252750,159646500
2024-04-05 00:00:00+05:30,154.35,154.35,150.32,153.69,45981000,161625750
2024-04-08 00:00:00+05:30,154.5,156.96,154.5,155.4,35616750,158301000
2024-04-09 00:00:00+05:30,156.06,156.06,153.12,154.12,23429250,157940250
2024-04-10 00:00:00+05:30,154.35,159.54,154.31,158.44,65861250,153845250
2024-04-12 00:00:00+05:30,158.06,158.72,155.21,155.63,38356500,154274250
2024-04-15 00:00:00+05:30,153.98,155.35,148.42,151.89,67002000,154128000
2024-04-16 00:00:00+05:30,151.45,155.88,150.7,154.12,47433750,151953750
2024-04-18 00:00:00+05:30,156.73,160.05,153.07,154.16,82065750,150744750
2024-04-19 00:00:00+05:30,149.22,152.35,147.61,151.65,63336000,141141000
2024-04-22 00:00:00+05:30,153.78,156.92,153.12,155.88,79511250,112680750
2024-04-23 00:00:00+05:30,158.39,158.39,152.98,153.22,77044500,71477250
2024-04-24 00:00:00+05:30,153.55,155.68,152.32,153.98,57183750,36416250
2024-04-25 00:00:00+05:30,154.35,155.88,153.69,155.06,51509250,4641000
2024-04-26 00:00:00+05:30,156.59,158.72,155.93,157.49,35953125,159290625
2024-04-29 00:00:00+05:30,158.16,163.9,158.06,162.33,87564750,162474000
2024-04-30 00:00:00+05:30,162.9,164.9,153.07,154.55,154308375,157238250
2024-05-02 00:00:00+05:30,157.96,160.67,153.93,159.54,117034125,170688375
2024-05-03 00:00:00+05:30,160.2,160.86,155.11,156.92,45517875,172253250
2024-05-06 00:00:00+05:30,157.73,157.87,150.84,152.02,56184375,171990000
2024-05-07 00:00:00+05:30,152.93,153.88,145.95,146.33,50802375,178342125
2024-05-08 00:00:00+05:30,146.23,150.65,145.71,149.18,42812250,176962500
2024-05-09 00:00:00+05:30,149.08,149.18,142.57,143.05,40096875,178688250
2024-05-10 00:00:00+05:30,144.38,146.04,141.57,144.9,32101875,178312875
2024-05-13 00:00:00+05:30,145.52,146.38,140.67,144.43,36196875,176986875
2024-05-14 00:00:00+05:30,143.95,146.43,143.05,145.52,26905125,176982000
2024-05-15 00:00:00+05:30,146.66,148.28,145.66,147.66,30444375,178156875
2024-05-16 00:00:00+05:30,148.32,149.84,146.71,148.61,33715500,173437875
2024-05-17 00:00:00+05:30,148.89,149.99,148.18,149.37,24258000,171088125
2024-05-18 00:00:00+05:30,149.46,150.41,149.04,149.94,5469750,170566500
2024-05-21 00:00:00+05:30,149.79,153.65,148.89,152.27,39019500,168967500
2024-05-22 00:00:00+05:30,152.88,153.22,149.41,152.35,30732000,165594000
2024-05-23 00:00:00+05:30,152.93,154.45,152.02,153.07,31599750,160992000
2024-05-24 00:00:00+05:30,152.17,155.63,152.17,153.93,39424125,147580875
2024-05-27 00:00:00+05:30,154.31,155.83,151.69,154.12,48296625,124585500
2024-05-28 00:00:00+05:30,154.45,155.02,150.74,152.02,49349625,97558500
2024-05-29 00:00:00+05:30,151.79,151.98,149.89,150.17,67640625,45747000
2024-05-30 00:00:00+05:30,149.84,150.46,146.47,146.94,55102125,12060750
2024-05-31 00:00:00+05:30,149.22,149.89,147.46,148.99,28045875,154752000
2024-06-03 00:00:00+05:30,155.78,162.28,154.02,161.19,109741125,156726375
2024-06-04 00:00:00+05:30,159.57,161.0,132.22,140.16,131269125,150486375
2024-06-05 00:00:00+05:30,142.9,145.95,133.98,145.15,66075750,146035500
2024-06-06 00:00:00+05:30,146.71,153.78,146.71,149.65,62721750,147966000
2024-06-07 00:00:00+05:30,150.04,150.6,146.9,149.65,64418250,140351250
2024-06-10 00:00:00+05:30,150.46,152.02,149.37,150.46,32677125,139468875
2024-06-11 00:00:00+05:30,151.07,154.5,149.51,153.22,48672000,140590125
2024-06-12 00:00:00+05:30,154.02,156.3,153.73,153.98,34066500,141248250
2024-06-13 00:00:00+05:30,154.07,155.16,153.12,154.21,20007000,139585875
2024-06-14 00:00:00+05:30,154.6,157.29,154.21,155.16,34968375,139985625
2024-06-18 00:00:00+05:30,156.21,156.21,153.83,154.55,20416500,137182500
2024-06-19 00:00:00+05:30,154.93,154.97,151.41,151.74,25330500,134121000
2024-06-20 00:00:00+05:30,151.65,154.78,150.51,153.93,27343875,127739625
2024-06-21 00:00:00+05:30,153.45,154.55,151.45,151.84,24799125,122040750
2024-06-24 00:00:00+05:30,151.69,152.55,149.51,151.22,48828000,95745000
2024-06-25 00:00:00+05:30,150.51,151.84,148.84,149.61,49924875,64788750
2024-06-26 00:00:00+05:30,150.12,150.12,148.89,149.22,41705625,36928125
2024-06-27 00:00:00+05:30,149.08,149.74,147.13,148.84,58734000,4875000
2024-06-28 00:00:00+05:30,150.04,152.5,150.04,151.41,29683875,141813750
2024-07-01 00:00:00+05:30,151.55,153.6,150.55,153.26,21303750,141896625
2024-07-02 00:00:00+05:30,154.31,155.21,152.79,153.98,35436375,142120875
2024-07-03 00:00:00+05:30,154.6,154.78,153.12,154.64,21069750,143788125
2024-07-04 00:00:00+05:30,154.93,156.54,154.12,155.4,30610125,145674750
2024-07-05 00:00:00+05:30,155.21,157.11,154.73,156.54,31175625,148005000
2024-07-08 00:00:00+05:30,156.78,157.82,154.89,155.31,28913625,147307875
2024-07-09 00:00:00+05:30,156.26,157.81,155.53,156.86,30951375,149950125
2024-07-10 00:00:00+05:30,157.68,158.16,152.34,156.84,48784125,145304250
2024-07-11 00:00:00+05:30,158.24,161.0,157.21,159.75,79550250,157564875
2024-07-12 00:00:00+05:30,161.48,161.48,158.05,159.1,52898625,151695375
2024-07-15 00:00:00+05:30,159.58,162.28,158.49,161.71,47667750,150700875
2024-07-16 00:00:00+05:30,161.62,164.22,161.35,162.7,39560625,146913000
2024-07-18 00:00:00+05:30,161.45,163.48,160.54,161.49,27997125,142608375
2024-07-19 00:00:00+05:30,161.38,161.8,156.92,157.32,48199125,130723125
2024-07-22 00:00:00+05:30,154.83,160.44,154.82,159.74,51392250,102570000
2024-07-23 00:00:00+05:30,160.41,160.41,152.45,157.89,54322125,72666750
