date,open,high,low,close,volume,oi
2024-11-29 00:00:00+05:30,330.0,334.5,327.2,330.6,10279500,8038800
2024-12-02 00:00:00+05:30,328.1,332.7,327.2,331.9,4281750,10489050
2024-12-03 00:00:00+05:30,333.0,343.55,332.35,342.15,8205450,12657150
2024-12-04 00:00:00+05:30,343.9,348.9,342.4,346.85,10830600,16706250
2024-12-05 00:00:00+05:30,347.9,348.7,341.05,343.15,6283200,19273650
2024-12-06 00:00:00+05:30,344.0,344.0,340.1,340.6,4656300,20511150
2024-12-09 00:00:00+05:30,340.05,342.8,337.75,338.4,4143150,21824550
2024-12-10 00:00:00+05:30,336.6,339.35,335.15,336.55,3752100,23055450
2024-12-11 00:00:00+05:30,336.35,347.0,334.3,344.45,13818750,26315850
2024-12-12 00:00:00+05:30,346.0,347.8,337.8,339.1,8344050,27866850
2024-12-13 00:00:00+05:30,336.7,341.5,330.9,340.15,9284550,27178800
2024-12-16 00:00:00+05:30,339.25,343.5,338.4,341.45,3534300,27267900
2024-12-17 00:00:00+05:30,339.35,342.1,336.35,337.55,3771900,27145800
2024-12-18 00:00:00+05:30,336.1,337.6,323.5,324.5,9134400,26571600
2024-12-19 00:00:00+05:30,318.75,320.5,310.5,314.05,9596400,26048550
2024-12-20 00:00:00+05:30,315.0,315.0,303.45,305.0,10167300,23253450
2024-12-23 00:00:00+05:30,307.5,309.0,302.3,305.35,10682100,16694700
2024-12-24 00:00:00+05:30,305.45,307.35,303.65,304.95,9631050,9733350
2024-12-26 00:00:00+05:30,300.0,306.9,300.0,305.7,9875250,3763650
2024-12-27 00:00:00+05:30,308.95,309.7,306.8,307.25,4524300,38821200
2024-12-30 00:00:00+05:30,305.65,310.25,303.1,307.35,20265300,36156450
2024-12-31 00:00:00+05:30,305.8,305.8,297.55,300.7,7227000,37925250
2025-01-01 00:00:00+05:30,301.0,308.55,300.5,306.55,7299600,38446650
2025-01-02 00:00:00+05:30,306.6,309.1,305.4,306.75,11898150,42144300
2025-01-03 00:00:00+05:30,307.0,312.8,305.5,309.25,16737600,46543200
2025-01-06 00:00:00+05:30,310.05,310.35,296.0,297.4,14973750,46582800
2025-01-07 00:00:00+05:30,299.3,302.5,298.15,300.7,5646300,47081100
2025-01-08 00:00:00+05:30,301.85,303.15,297.0,300.15,7865550,48973650
2025-01-09 00:00:00+05:30,299.1,299.7,290.2,290.7,11262900,49627050
2025-01-10 00:00:00+05:30,290.5,291.5,281.2,281.8,10121100,50032950
2025-01-13 00:00:00+05:30,280.25,280.7,265.95,267.1,16036350,49452150
2025-01-14 00:00:00+05:30,269.0,275.2,265.2,274.25,12431100,49414200
2025-01-15 00:00:00+05:30,275.95,277.2,272.45,273.8,7830900,50917350
2025-01-16 00:00:00+05:30,278.0,279.75,275.7,277.8,7514100,51846300
2025-01-17 00:00:00+05:30,279.9,282.3,276.55,279.6,10706850,52430400
2025-01-20 00:00:00+05:30,280.4,281.15,271.5,276.65,8238450,51854550
2025-01-21 00:00:00+05:30,277.3,278.3,253.25,260.05,35234100,62238000
2025-01-22 00:00:00+05:30,262.05,263.7,253.95,263.2,16038000,60942750
2025-01-23 00:00:00+05:30,264.65,267.35,253.4,256.55,29459100,67331550
2025-01-24 00:00:00+05:30,256.55,257.35,243.9,244.65,20266950,66432300
2025-01-27 00:00:00+05:30,242.8,247.3,230.55,233.1,23695650,54471450
2025-01-28 00:00:00+05:30,236.8,237.45,231.5,233.45,21827850,40911750
2025-01-29 00:00:00+05:30,235.9,240.35,233.0,238.05,22855800,33991650
2025-01-30 00:00:00+05:30,240.2,241.85,232.85,235.25,33524700,34991550
2025-01-31 00:00:00+05:30,238.0,244.85,237.35,243.4,24390300,104502750
2025-02-01 00:00:00+05:30,245.0,246.59,239.85,242.39,16457100,102491400
2025-02-03 00:00:00+05:30,240.11,240.55,233.55,234.53,13838550,102725700
2025-02-04 00:00:00+05:30,237.19,248.21,235.3,246.18,27130950,102799950
2025-02-05 00:00:00+05:30,247.45,254.98,247.45,250.2,35069100,101880900
2025-02-06 00:00:00+05:30,252.36,254.25,249.0,251.11,17575800,103854300
2025-02-07 00:00:00+05:30,250.04,253.78,246.49,250.26,12536700,103806450
2025-02-10 00:00:00+05:30,250.29,250.45,242.75,244.05,7939800,103705800
2025-02-11 00:00:00+05:30,243.5,243.5,235.51,236.71,11319000,103159650
2025-02-12 00:00:00+05:30,236.75,236.75,224.05,228.6,24421650,108500700
2025-02-13 00:00:00+05:30,229.6,234.04,228.05,228.84,10358700,108848850
2025-02-14 00:00:00+05:30,230.7,231.43,219.65,222.75,14424300,108817500
2025-02-17 00:00:00+05:30,222.75,224.73,217.61,223.38,13178550,110680350
2025-02-18 00:00:00+05:30,223.62,224.6,217.36,221.43,12825450,108812550
2025-02-19 00:00:00+05:30,220.4,229.9,219.55,228.89,19582200,106136250
2025-02-20 00:00:00+05:30,228.5,235.85,226.02,235.34,19012950,101390850
2025-02-21 00:00:00+05:30,235.5,238.4,232.9,234.12,36339600,74284650
2025-02-24 00:00:00+05:30,230.22,233.22,228.12,228.91,33490050,49130400
2025-02-25 00:00:00+05:30,229.43,231.4,225.12,225.89,29764350,23703900
2025-02-27 00:00:00+05:30,226.16,226.16,220.69,221.31,29759400,10432950
2025-02-28 00:00:00+05:30,220.9,220.9,208.17,208.84,29261100,121344300
2025-03-03 00:00:00+05:30,211.95,211.95,199.74,202.1,30259350,127695150
2025-03-04 00:00:00+05:30,199.9,208.5,199.4,207.18,31244400,129330300
2025-03-05 00:00:00+05:30,207.01,218.38,207.01,217.88,26431350,126588000
2025-03-06 00:00:00+05:30,220.4,222.9,218.63,220.46,20184450,123659250
2025-03-07 00:00:00+05:30,220.0,224.98,219.53,222.15,19220850,120377400
2025-03-10 00:00:00+05:30,222.67,225.0,215.81,216.81,19220850,120129900
2025-03-11 00:00:00+05:30,214.65,219.15,213.02,218.2,18951900,118435350
2025-03-12 00:00:00+05:30,220.3,226.59,216.81,225.63,23456400,117725850
2025-03-13 00:00:00+05:30,227.35,229.1,221.28,222.72,20773500,115067700
2025-03-17 00:00:00+05:30,223.7,224.31,218.93,219.85,14127300,115910850
2025-03-18 00:00:00+05:30,222.1,226.31,220.73,226.0,20052450,116348100
2025-03-19 00:00:00+05:30,228.25,231.44,225.7,228.82,24801150,113363250
2025-03-20 00:00:00+05:30,230.89,234.35,228.76,231.71,22776600,108357150
2025-03-21 00:00:00+05:30,232.74,235.7,228.29,229.42,25398450,105633000
2025-03-24 00:00:00+05:30,231.38,234.6,230.45,232.64,35549250,81153600
2025-03-25 00:00:00+05:30,233.91,233.91,226.0,227.52,32641950,58928100
2025-03-26 00:00:00+05:30,227.91,228.6,221.75,222.76,34881000,32541300
2025-03-27 00:00:00+05:30,221.6,227.59,221.08,225.27,37154700,7405200
2025-03-28 00:00:00+05:30,228.9,233.8,226.57,228.63,29214900,134877600
2025-04-01 00:00:00+05:30,227.99,232.31,226.31,231.23,18587250,133287000
2025-04-02 00:00:00+05:30,231.56,231.94,225.87,230.38,17059350,130397850
2025-04-03 00:00:00+05:30,227.9,232.7,227.52,230.92,14549700,130470450
2025-04-04 00:00:00+05:30,230.75,230.75,221.05,222.59,27584700,127929450
2025-04-07 00:00:00+05:30,204.84,215.2,203.2,214.1,27218400,124167450
2025-04-08 00:00:00+05:30,217.5,226.63,216.82,225.39,23718750,121517550
2025-04-09 00:00:00+05:30,223.5,224.0,218.35,221.04,16744200,120593550
2025-04-11 00:00:00+05:30,222.85,231.8,222.84,230.9,22510950,117268800
2025-04-15 00:00:00+05:30,235.2,239.44,232.52,238.63,24999150,114417600
