date,open,high,low,close,volume,oi
2024-01-03 00:00:00+05:30,164.0,171.65,163.75,167.1,34589424,45307148
2024-01-04 00:00:00+05:30,167.9,173.4,167.55,172.4,17062688,43665132
2024-01-05 00:00:00+05:30,173.95,175.6,169.05,171.25,22497404,42986908
2024-01-08 00:00:00+05:30,172.2,172.45,167.1,168.75,10976520,41402898
2024-01-09 00:00:00+05:30,170.6,171.3,166.3,166.7,8299320,40332018
2024-01-10 00:00:00+05:30,166.6,166.65,162.7,166.05,11636896,39685028
2024-01-11 00:00:00+05:30,167.0,171.8,167.0,168.65,15077098,38908640
2024-01-12 00:00:00+05:30,169.65,169.7,167.1,167.8,6965182,38797090
2024-01-15 00:00:00+05:30,169.25,170.95,167.85,169.7,8147612,38832786
2024-01-16 00:00:00+05:30,170.4,171.0,165.85,167.9,6835784,38859558
2024-01-17 00:00:00+05:30,166.0,171.4,164.0,169.8,11672592,37391560
2024-01-18 00:00:00+05:30,169.45,171.2,164.9,167.1,10151050,35896790
2024-01-19 00:00:00+05:30,168.0,169.45,166.05,168.7,6518982,34174458
2024-01-20 00:00:00+05:30,169.4,169.7,166.5,166.85,4573550,32077318
2024-01-23 00:00:00+05:30,167.95,168.85,157.25,158.95,35111478,16152440
2024-01-24 00:00:00+05:30,161.05,163.2,156.85,160.9,21007096,8102992
2024-01-25 00:00:00+05:30,161.05,167.45,161.05,166.9,11824300,1887426
2024-01-29 00:00:00+05:30,168.7,169.8,167.7,168.5,10275986,39814426
2024-01-30 00:00:00+05:30,166.95,172.9,166.0,169.15,12047400,39832274
2024-01-31 00:00:00+05:30,170.15,176.1,169.7,174.45,16705728,38239340
2024-02-01 00:00:00+05:30,176.1,176.4,169.5,173.0,10659718,38257188
2024-02-02 00:00:00+05:30,174.75,177.0,174.0,175.4,9343428,37079220
2024-02-05 00:00:00+05:30,175.95,179.75,173.4,174.25,13872358,37351402
2024-02-06 00:00:00+05:30,173.95,174.9,169.15,171.3,8901690,38346428
2024-02-07 00:00:00+05:30,171.6,178.65,171.6,176.9,15059250,38609686
2024-02-08 00:00:00+05:30,177.0,178.2,172.7,173.4,12016166,38917564
2024-02-09 00:00:00+05:30,172.45,172.85,165.95,171.7,12689928,38810476
2024-02-12 00:00:00+05:30,170.45,172.05,166.3,167.1,6871480,39096044
2024-02-13 00:00:00+05:30,168.7,171.95,165.5,171.25,9945798,37766368
2024-02-14 00:00:00+05:30,169.0,173.4,167.5,172.85,5813986,37739596
2024-02-15 00:00:00+05:30,173.3,174.6,170.65,172.35,5733670,37650356
2024-02-16 00:00:00+05:30,173.25,176.4,172.45,174.4,8616122,37275548
2024-02-19 00:00:00+05:30,176.0,177.9,174.5,175.65,8977544,36686564
2024-02-20 00:00:00+05:30,176.7,176.7,172.95,174.6,5885378,35655842
2024-02-21 00:00:00+05:30,174.95,175.55,169.75,170.8,7393534,34665278
2024-02-22 00:00:00+05:30,170.65,172.55,168.85,172.2,4060420,34397558
2024-02-23 00:00:00+05:30,173.2,173.65,171.45,171.9,7902202,31095678
2024-02-26 00:00:00+05:30,171.95,173.5,171.0,171.5,11958160,26339186
2024-02-27 00:00:00+05:30,171.45,172.0,168.65,169.35,18539610,13006730
2024-02-28 00:00:00+05:30,170.55,170.55,163.65,164.55,12324044,6657304
2024-02-29 00:00:00+05:30,164.25,167.85,162.75,167.25,11235316,1704484
2024-03-01 00:00:00+05:30,169.0,171.95,168.15,171.45,6800088,39854584
2024-03-02 00:00:00+05:30,171.9,173.2,171.2,172.45,950406,39970596
2024-03-04 00:00:00+05:30,172.1,176.8,172.1,175.55,10490162,40617586
2024-03-05 00:00:00+05:30,175.25,176.45,172.25,172.75,8660742,41916028
2024-03-06 00:00:00+05:30,172.2,172.2,155.5,160.3,45423160,47721090
2024-03-07 00:00:00+05:30,161.45,166.2,161.45,162.45,19039354,44901106
2024-03-11 00:00:00+05:30,162.35,162.9,157.2,158.15,11819838,46266478
2024-03-12 00:00:00+05:30,157.5,159.1,154.8,156.4,10838198,46971474
2024-03-13 00:00:00+05:30,157.3,158.3,147.3,148.45,16009656,47301662
2024-03-14 00:00:00+05:30,147.2,151.55,145.2,150.0,10731110,47051790
2024-03-15 00:00:00+05:30,149.75,152.85,147.95,151.5,10811426,46962550
2024-03-18 00:00:00+05:30,151.5,152.15,147.5,148.65,8741058,47846026
2024-03-19 00:00:00+05:30,149.65,151.8,146.9,147.5,9008778,47935266
2024-03-20 00:00:00+05:30,148.2,150.3,144.9,149.5,8049448,47538148
2024-03-21 00:00:00+05:30,151.2,157.5,151.15,156.75,19476630,46029992
