date,open,high,low,close,volume,oi
2024-01-03 00:00:00+05:30,548.0,554.1,543.5,546.35,1840800,11143200
2024-01-04 00:00:00+05:30,550.0,559.6,548.5,557.35,2859600,11347200
2024-01-05 00:00:00+05:30,557.2,560.0,547.5,548.9,2170800,11454000
2024-01-08 00:00:00+05:30,534.2,539.4,521.05,524.8,7098000,12319200
2024-01-09 00:00:00+05:30,527.95,534.45,526.85,532.3,2256000,12063600
2024-01-10 00:00:00+05:30,530.0,536.75,529.6,533.85,1755600,11949600
2024-01-11 00:00:00+05:30,534.2,537.5,530.9,532.6,1173600,11920800
2024-01-12 00:00:00+05:30,529.65,535.8,529.65,533.5,999600,12025200
2024-01-15 00:00:00+05:30,534.05,535.0,530.25,531.8,1010400,12057600
2024-01-16 00:00:00+05:30,530.35,534.75,527.8,531.6,908400,11991600
2024-01-17 00:00:00+05:30,527.9,534.3,523.95,529.25,2120400,11758800
2024-01-18 00:00:00+05:30,527.35,528.3,518.05,524.85,1972800,11847600
2024-01-19 00:00:00+05:30,525.65,531.85,525.65,530.7,1231200,11666400
2024-01-20 00:00:00+05:30,529.4,529.75,522.3,524.1,1051200,11457600
2024-01-23 00:00:00+05:30,525.35,529.05,516.0,519.3,7216800,7647600
2024-01-24 00:00:00+05:30,525.3,532.55,516.5,530.4,4374000,4509600
2024-01-25 00:00:00+05:30,529.2,534.2,521.8,525.55,4890000,1158000
2024-01-29 00:00:00+05:30,521.0,527.3,516.15,518.85,3422400,10876800
2024-01-30 00:00:00+05:30,519.95,529.15,517.2,525.7,4267200,10562400
2024-01-31 00:00:00+05:30,526.0,534.75,525.45,530.6,1803600,10531200
2024-02-01 00:00:00+05:30,532.5,558.4,532.5,539.45,5998800,10675200
2024-02-02 00:00:00+05:30,542.85,542.85,530.35,532.95,2440800,10606800
2024-02-05 00:00:00+05:30,532.55,536.2,524.5,525.3,1416000,10478400
2024-02-06 00:00:00+05:30,525.1,530.5,521.75,523.85,1724400,10928400
2024-02-07 00:00:00+05:30,526.65,529.3,523.45,526.7,1431600,10621200
2024-02-08 00:00:00+05:30,527.5,530.2,522.95,524.35,1036800,10376400
2024-02-09 00:00:00+05:30,524.7,525.8,517.1,521.55,1413600,10580400
2024-02-12 00:00:00+05:30,524.7,528.4,521.15,527.25,1904400,10574400
2024-02-13 00:00:00+05:30,524.55,530.1,524.55,527.45,914400,10440000
2024-02-14 00:00:00+05:30,522.2,528.75,522.2,528.0,946800,10466400
2024-02-15 00:00:00+05:30,527.0,529.0,521.0,523.9,1329600,10597200
