date,open,high,low,close,volume,oi
2024-01-03 00:00:00+05:30,70.47,70.9,68.03,68.37,50023050,106208900
2024-01-04 00:00:00+05:30,68.37,70.1,68.37,69.43,35720100,108040700
2024-01-05 00:00:00+05:30,69.93,71.43,69.0,69.7,58319400,106876300
2024-01-08 00:00:00+05:30,70.1,71.8,69.43,70.83,55103100,108424100
2024-01-09 00:00:00+05:30,71.4,73.0,71.0,71.6,73847100,108736500
2024-01-10 00:00:00+05:30,71.6,73.67,70.43,73.1,56317200,111775300
2024-01-11 00:00:00+05:30,73.33,74.3,72.9,73.37,58937100,107025400
2024-01-12 00:00:00+05:30,73.67,73.73,71.33,71.67,42099450,103383100
2024-01-15 00:00:00+05:30,72.0,73.67,71.5,73.17,36572100,99946700
2024-01-16 00:00:00+05:30,73.13,73.67,71.73,72.83,33888300,96616800
2024-01-17 00:00:00+05:30,71.97,73.07,70.93,71.93,27178800,93357900
2024-01-18 00:00:00+05:30,72.1,73.07,69.57,72.07,38009850,89793700
2024-01-19 00:00:00+05:30,72.63,74.0,72.53,73.23,29883900,87919300
2024-01-20 00:00:00+05:30,73.5,73.5,71.33,71.6,20330850,85441400
2024-01-23 00:00:00+05:30,72.3,72.83,70.43,70.7,76967550,61415000
2024-01-24 00:00:00+05:30,70.3,73.8,69.43,73.33,69001350,43153800
2024-01-25 00:00:00+05:30,73.3,77.3,72.93,76.97,106819500,5609000
2024-01-29 00:00:00+05:30,77.43,79.2,76.87,78.23,58223550,92626600
2024-01-30 00:00:00+05:30,78.47,78.63,76.33,76.57,28360950,91320200
2024-01-31 00:00:00+05:30,76.43,76.83,75.73,76.1,21459750,92832500
2024-02-01 00:00:00+05:30,76.53,78.0,76.2,77.37,32482500,93592200
2024-02-02 00:00:00+05:30,77.87,78.6,77.17,77.53,22727100,91795900
2024-02-05 00:00:00+05:30,77.77,79.97,77.6,78.53,33004350,92278700
2024-02-06 00:00:00+05:30,78.6,79.83,78.0,79.5,21736650,92115400
2024-02-07 00:00:00+05:30,79.67,82.23,78.3,81.83,54123300,94266700
2024-02-08 00:00:00+05:30,82.0,82.03,80.0,80.27,27508950,94927000
2024-02-09 00:00:00+05:30,80.37,82.0,78.57,81.27,59576100,98888800
2024-02-12 00:00:00+05:30,81.97,82.57,73.2,76.43,116521650,97064100
2024-02-13 00:00:00+05:30,78.3,78.57,73.63,77.37,69864000,100422400
2024-02-14 00:00:00+05:30,76.33,76.73,74.9,76.2,43878000,96432200
2024-02-15 00:00:00+05:30,76.77,77.1,75.27,75.73,32450550,98278200
2024-02-16 00:00:00+05:30,76.0,77.4,75.97,76.27,28446150,100500500
2024-02-19 00:00:00+05:30,78.47,78.5,75.4,75.6,17253000,100003500
2024-02-20 00:00:00+05:30,75.73,75.83,74.33,75.7,21608850,99208300
2024-02-21 00:00:00+05:30,75.73,76.5,75.03,75.37,24984900,97156400
2024-02-22 00:00:00+05:30,75.37,76.2,73.9,75.97,27327900,93862000
2024-02-23 00:00:00+05:30,76.9,77.77,75.97,76.9,28616550,88551200
2024-02-26 00:00:00+05:30,76.8,77.5,76.27,76.83,32216250,79960200
2024-02-27 00:00:00+05:30,77.3,77.3,76.07,76.7,58702800,59696800
2024-02-28 00:00:00+05:30,76.0,79.7,76.0,79.17,60257700,50530700
2024-02-29 00:00:00+05:30,78.57,79.93,77.9,79.57,101782050,18218600
2024-03-01 00:00:00+05:30,80.1,80.83,79.2,80.2,45613950,93464400
2024-03-02 00:00:00+05:30,80.27,81.17,80.27,80.67,6603000,94508100
2024-03-04 00:00:00+05:30,81.17,82.2,80.03,80.3,41183550,100046100
2024-03-05 00:00:00+05:30,80.4,84.87,80.03,84.17,166949400,113458000
2024-03-06 00:00:00+05:30,82.67,82.67,78.93,81.1,237803850,144591500
2024-03-07 00:00:00+05:30,80.4,81.17,79.4,79.63,51333000,142660300
2024-03-11 00:00:00+05:30,79.57,79.57,77.0,77.97,52674900,142788100
2024-03-12 00:00:00+05:30,78.23,78.77,76.93,77.73,53175450,147722600
2024-03-13 00:00:00+05:30,77.73,77.97,71.0,73.63,91568700,147616100
2024-03-14 00:00:00+05:30,72.97,75.47,72.43,75.27,45454200,145436400
2024-03-15 00:00:00+05:30,74.97,75.87,73.13,74.5,37136550,147573500
2024-03-18 00:00:00+05:30,74.67,75.8,74.53,75.53,27413100,148269300
2024-03-19 00:00:00+05:30,75.4,76.2,74.07,74.4,31119300,148610100
2024-03-20 00:00:00+05:30,74.6,75.6,73.7,75.07,30427050,149838400
2024-03-21 00:00:00+05:30,75.83,77.57,75.67,77.17,58915800,147424400
2024-03-22 00:00:00+05:30,77.57,77.97,76.67,77.73,77404200,119414900
2024-03-26 00:00:00+05:30,77.0,78.6,76.67,78.3,77457450,83275900
2024-03-27 00:00:00+05:30,78.63,78.97,77.73,78.37,77489400,55039200
2024-03-28 00:00:00+05:30,78.17,78.9,77.73,78.07,100024800,5197200
2024-04-01 00:00:00+05:30,79.0,80.77,78.7,80.57,28627200,155887600
2024-04-02 00:00:00+05:30,80.47,82.1,80.47,81.27,37062000,155419000
2024-04-03 00:00:00+05:30,80.63,81.1,80.27,80.7,15975000,155156300
2024-04-04 00:00:00+05:30,81.33,82.67,79.5,80.2,45017550,159068400
2024-04-05 00:00:00+05:30,79.67,80.33,79.0,80.0,19436250,157279200
2024-04-08 00:00:00+05:30,80.13,81.1,79.47,80.73,28840200,156973900
2024-04-09 00:00:00+05:30,80.77,80.8,78.2,78.87,24846450,156491100
2024-04-10 00:00:00+05:30,78.97,79.7,78.73,79.47,27924300,154701900
2024-04-12 00:00:00+05:30,79.1,82.4,79.0,80.63,68799000,153573000
2024-04-15 00:00:00+05:30,79.53,80.9,78.1,80.6,44197500,153139900
2024-04-16 00:00:00+05:30,80.03,84.1,79.37,83.17,94944750,157314700
2024-04-18 00:00:00+05:30,84.13,86.77,83.27,84.0,127097100,151215800
2024-04-19 00:00:00+05:30,82.9,85.07,80.67,84.67,87010500,151521100
2024-04-22 00:00:00+05:30,83.33,85.8,80.83,85.2,110195550,128048500
2024-04-23 00:00:00+05:30,85.4,86.13,83.73,84.9,114402300,80762500
2024-04-24 00:00:00+05:30,85.13,85.63,83.77,84.57,54613200,56622500
2024-04-25 00:00:00+05:30,84.1,85.27,83.97,84.83,105520200,3400900
2024-04-26 00:00:00+05:30,85.9,88.73,85.8,88.03,85966800,150129500
2024-04-29 00:00:00+05:30,88.67,89.13,87.1,87.73,31098000,147580600
2024-04-30 00:00:00+05:30,88.37,89.4,87.7,87.93,41258100,144051900
2024-05-02 00:00:00+05:30,89.0,89.0,86.83,87.6,26742150,144705100
2024-05-03 00:00:00+05:30,87.9,88.73,86.97,88.0,36135450,144307500
2024-05-06 00:00:00+05:30,88.07,88.6,85.0,85.6,35017200,140778800
2024-05-07 00:00:00+05:30,85.5,85.87,82.27,83.83,45805650,135404100
