date,open,high,low,close,volume,oi
2025-02-28 00:00:00+05:30,695.0,700.0,648.1,664.8,2104900,811300
2025-03-03 00:00:00+05:30,672.35,681.0,628.0,668.95,2199400,1335600
2025-03-04 00:00:00+05:30,656.05,679.5,638.5,640.2,2814000,2092300
2025-03-05 00:00:00+05:30,638.9,678.8,638.9,675.6,2032800,2332400
2025-03-06 00:00:00+05:30,680.0,681.9,666.6,670.15,1325100,2422700
2025-03-07 00:00:00+05:30,670.0,680.65,659.1,670.2,1365700,2550800
2025-03-10 00:00:00+05:30,671.3,674.4,646.25,651.65,1183700,2777600
2025-03-11 00:00:00+05:30,641.2,655.35,638.0,646.1,1370600,2973600
2025-03-12 00:00:00+05:30,647.05,649.35,625.95,640.05,1751400,3178700
2025-03-13 00:00:00+05:30,644.05,644.05,625.0,633.9,1327200,3397100
2025-03-17 00:00:00+05:30,636.9,640.5,626.0,628.05,970200,3531500
2025-03-18 00:00:00+05:30,629.65,652.35,627.05,648.65,1612100,3634400
2025-03-19 00:00:00+05:30,650.3,676.0,643.55,669.6,2042600,3539200
2025-03-20 00:00:00+05:30,672.4,681.9,661.9,664.7,1111600,3645600
2025-03-21 00:00:00+05:30,664.9,706.4,661.2,683.65,3152100,3414600
2025-03-24 00:00:00+05:30,689.85,707.9,683.75,699.35,1878100,2674000
2025-03-25 00:00:00+05:30,702.75,725.3,693.55,698.05,3312400,1518300
2025-03-26 00:00:00+05:30,698.45,704.8,687.85,697.85,2293200,439600
2025-03-27 00:00:00+05:30,687.9,696.2,678.9,688.05,1184400,372400
2025-03-28 00:00:00+05:30,677.0,684.7,657.1,661.9,2102100,6449800
2025-04-01 00:00:00+05:30,663.7,671.45,657.55,664.55,2452800,7080500
2025-04-02 00:00:00+05:30,666.85,674.5,656.7,672.75,1334900,7119000
2025-04-03 00:00:00+05:30,672.55,677.0,658.25,665.55,1925700,7431200
2025-04-04 00:00:00+05:30,665.0,668.75,623.15,629.0,3383100,7707000
2025-04-07 00:00:00+05:30,603.85,606.0,574.5,594.2,2583000,7823200
2025-04-08 00:00:00+05:30,611.8,617.1,597.25,603.1,2429000,7737100
2025-04-09 00:00:00+05:30,600.0,603.45,584.45,597.5,1784300,7954100
2025-04-11 00:00:00+05:30,616.4,616.4,602.15,609.95,1876000,8159200
2025-04-15 00:00:00+05:30,620.55,638.4,617.8,632.4,2376500,8443400
2025-04-16 00:00:00+05:30,635.3,645.0,630.0,643.05,2172100,8465100
2025-04-17 00:00:00+05:30,640.0,652.45,636.05,647.8,2170000,8094800
