"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D   %CHNG 
"
"NIFTY 50","25,951.50","25,980.75","25,834.35","26,027.30","25,860.10","-","-167.20","-0.64","26,43,51,195","23,554.56","26,325.80","21,743.65","-0.19","4.41"
"BHARTIARTL","2,070.10","2,106.60","2,070.10","2,069.70","2,104.90","-","35.20","1.70","57,56,692","1,207.56","2,174.50","1,559.50","0.06","24.99"
"TITAN","3,850.00","3,937.50","3,828.00","3,866.20","3,930.00","-","63.80","1.65","15,60,827","609.47","3,956.00","2,925.00","2.62","11.99"
"TATACONSUM","1,157.40","1,176.70","1,153.40","1,157.40","1,172.00","-","14.60","1.26","11,81,775","138.26","1,202.80","882.90","1.05","25.84"
"M&M","3,581.00","3,633.50","3,577.90","3,608.00","3,628.90","-","20.90","0.58","13,94,406","504.46","3,795.00","2,425.00","-2.10","17.51"
"BAJAJ-AUTO","8,940.00","9,028.00","8,891.00","8,940.00","8,989.00","-","49.00","0.55","2,78,902","250.39","9,490.00","7,089.35","1.87","-0.15"
"SBILIFE","2,034.90","2,052.20","2,021.00","2,034.90","2,040.00","-","5.10","0.25","8,15,797","166.59","2,086.60","1,372.55","1.75","42.50"
"ASIANPAINT","2,793.00","2,808.00","2,776.10","2,780.20","2,785.00","-","4.80","0.17","9,16,244","255.86","2,985.70","2,124.75","-3.97","15.92"
"KOTAKBANK","2,178.00","2,194.00","2,171.50","2,181.30","2,184.00","-","2.70","0.12","17,08,919","372.93","2,301.90","1,723.75","4.94","20.87"
"ICICIBANK","1,364.00","1,368.70","1,355.50","1,365.20","1,366.60","-","1.40","0.10","1,23,59,741","1,685.49","1,500.00","1,186.00","-0.51","1.57"
"TRENT","4,115.00","4,143.70","4,085.50","4,109.00","4,111.00","-","2.00","0.05","5,62,479","231.16","7,493.05","3,930.10","-6.43","-41.31"
"INDIGO","4,990.00","5,002.00","4,951.50","4,965.50","4,966.00","-","0.50","0.01","23,89,083","1,189.89","6,232.50","3,945.00","-15.82","12.21"
"TECHM","1,570.00","1,580.30","1,564.70","1,575.40","1,575.00","-","-0.40","-0.03","9,99,338","157.38","1,793.50","1,209.40","9.66","-12.15"
"ITC","401.40","405.75","401.05","402.30","402.00","-","-0.30","-0.07","1,23,47,384","497.74","491.00","390.15","-1.58","-14.53"
"NESTLEIND","1,236.50","1,264.00","1,234.40","1,243.50","1,241.50","-","-2.00","-0.16","10,86,329","135.52","1,311.60","1,055.00","-2.44","-44.95"
"HDFCBANK","990.10","998.70","990.10","996.10","994.20","-","-1.90","-0.19","2,00,49,088","1,994.36","1,020.50","812.15","0.47","-46.88"
"TMPV","347.15","349.35","343.90","347.15","345.45","-","-1.70","-0.49","83,91,226","290.37","810.00","341.40","-11.69","-"
"CIPLA","1,500.00","1,508.90","1,496.10","1,508.00","1,500.00","-","-8.00","-0.53","7,89,492","118.61","1,673.00","1,335.00","-2.12","3.61"
"MARUTI","16,400.00","16,451.00","16,320.00","16,415.00","16,326.00","-","-89.00","-0.54","1,56,134","255.73","16,660.00","10,725.00","4.27","45.08"
"HINDUNILVR","2,293.40","2,302.70","2,276.00","2,293.50","2,279.90","-","-13.60","-0.59","12,56,042","287.66","2,750.00","2,136.00","-6.04","-4.56"
"APOLLOHOSP","7,110.00","7,148.00","7,025.00","7,086.50","7,045.00","-","-41.50","-0.59","3,85,236","273.11","8,099.50","6,001.00","-4.97","-2.86"
"COALINDIA","384.00","384.20","378.35","384.45","382.15","-","-2.30","-0.60","51,09,787","194.59","417.25","349.25","-1.38","-6.99"
"DRREDDY","1,285.90","1,285.90","1,272.00","1,280.60","1,272.50","-","-8.10","-0.63","9,28,506","118.70","1,405.90","1,020.00","2.48","2.45"
"TCS","3,220.00","3,220.00","3,191.10","3,230.20","3,206.60","-","-23.60","-0.73","17,34,623","555.89","4,475.00","2,866.60","3.19","-28.36"
"SBIN","966.05","969.00","958.05","967.25","960.00","-","-7.25","-0.75","47,64,786","459.04","999.00","680.00","-0.69","11.56"
"SUNPHARMA","1,790.00","1,791.90","1,778.30","1,797.10","1,783.20","-","-13.90","-0.77","15,33,979","273.79","1,910.00","1,548.00","1.38","-1.77"
"LT","4,083.70","4,103.80","4,051.20","4,092.30","4,060.00","-","-32.30","-0.79","21,99,214","893.64","4,140.00","2,965.30","1.48","4.55"
"POWERGRID","262.15","263.35","259.70","262.20","260.00","-","-2.20","-0.84","92,41,981","241.52","336.25","247.30","-4.04","-22.02"
"INFY","1,600.00","1,603.00","1,585.60","1,606.80","1,592.60","-","-14.20","-0.88","54,99,258","875.35","1,999.60","1,307.00","6.00","-20.34"
"BEL","390.75","391.20","384.75","390.75","387.30","-","-3.45","-0.88","87,00,626","336.84","436.00","240.25","-9.10","22.92"
"WIPRO","261.74","261.75","258.80","261.74","259.30","-","-2.44","-0.93","29,82,041","77.51","324.60","228.00","6.08","-16.37"
"ADANIPORTS","1,512.60","1,512.60","1,494.20","1,512.60","1,497.90","-","-14.70","-0.97","11,22,212","168.55","1,549.00","1,010.75","-0.91","18.97"
"RELIANCE","1,545.00","1,551.70","1,538.80","1,556.20","1,540.70","-","-15.50","-1.00","1,17,31,856","1,811.75","1,581.30","1,114.85","1.54","21.17"
